panel,route,series,x,y,rawValue,source,pointer
A,analytic grid,envelope ratio,0.0001,1.6930843004389904,0.9999000049998333,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.00013568446309589611,1.6930618602422116,0.9998643247416246,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.00018410273525621613,1.6930314108991102,0.9998159142106124,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.0002497988078772559,1.692990093142429,0.9997502323892472,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.00033893817128820367,1.6929340263432373,0.9996611192617648,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.0004598864379394484,1.6928579431636495,0.9995402192936197,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.000623994444168982,1.6927546930990114,0.9993762001998765,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.0008466635113189044,1.692614567505067,0.9991536948070996,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.0011487908395619172,1.6924243812731827,0.9988518687680267,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.001558730682754426,1.6921662222350373,0.9984424835069694,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.0021149553580063385,1.6918157459222578,0.9978872795841982,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.002869665822228791,1.6913398464954765,0.9971344477329531,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.0038936906635375678,1.6906934685859003,0.9961138799209287,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.005283133271435984,1.6898152305667775,0.9947307979328789,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.007168391013988566,1.6886213938143992,0.9928572406184529,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.009726392859944848,1.686997513903368,0.9903207555140667,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.013197203930613756,1.684786816087221,0.9868894973413036,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.017906555296923775,1.6817738993907965,0.9822528143925482,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.024296413413600792,1.6776617176958066,0.9759963684624693,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.03296645809180352,1.672038810049515,0.9675710132228497,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.0447303616635972,1.6643323336132627,0.9562552901596488,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.06069215106410447,1.6537405016892992,0.94111291579518,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.08234981931268036,1.6391356632452592,0.920949736336054,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.11173591019485091,1.61892726345302,0.8942803966537143,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.15160826983319625,1.5908748093566176,0.8593248382791872,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.20570886693214976,1.5518510885687882,0.8140700444961047,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.2791149716375388,1.497588850556734,0.7564529275834725,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.3787156506866572,1.422523890009378,0.6847402904181226,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.5138582972943208,1.3200032794171654,0.5981831522285513,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.6972258717575127,1.1833593708363457,0.4979648076831174,research/r072h_report-source.md,Lemma 3.1
A,analytic grid,envelope ratio,0.9460271806598624,1.008526793551936,0.38828053174137866,research/r072h_report-source.md,Lemma 3.1
