kind,index,evidence_class,tau,k,theta,radius,observed_q_ratio,exact_q_ratio,relative_error,trace_multiplier_over_k2,small_theta_reference,large_theta_limit,envelope,normalized_bottom,normalized_bulk,critical_ratio,subcritical_ratio,source,normalization,claim_boundary
profile_exact,0,exact_formula,0,,,,,1,,,,,,,,,,q_phi(s)/q_phi(0)=exp(-2*K^2*s),tau=K^2*s; q divided by q(0),analytic heat-height profile; not physical-time evolution
profile_exact,1,exact_formula,0.012500000000000001,,,,,0.97530991202833262,,,,,,,,,,q_phi(s)/q_phi(0)=exp(-2*K^2*s),tau=K^2*s; q divided by q(0),analytic heat-height profile; not physical-time evolution
profile_exact,2,exact_formula,0.025000000000000001,,,,,0.95122942450071402,,,,,,,,,,q_phi(s)/q_phi(0)=exp(-2*K^2*s),tau=K^2*s; q divided by q(0),analytic heat-height profile; not physical-time evolution
profile_exact,3,exact_formula,0.037499999999999999,,,,,0.92774348632855286,,,,,,,,,,q_phi(s)/q_phi(0)=exp(-2*K^2*s),tau=K^2*s; q divided by q(0),analytic heat-height profile; not physical-time evolution
profile_exact,4,exact_formula,0.050000000000000003,,,,,0.90483741803595952,,,,,,,,,,q_phi(s)/q_phi(0)=exp(-2*K^2*s),tau=K^2*s; q divided by q(0),analytic heat-height profile; not physical-time evolution
profile_exact,5,exact_formula,0.0625,,,,,0.88249690258459546,,,,,,,,,,q_phi(s)/q_phi(0)=exp(-2*K^2*s),tau=K^2*s; q divided by q(0),analytic heat-height profile; not physical-time evolution
profile_exact,6,exact_formula,0.074999999999999997,,,,,0.86070797642505781,,,,,,,,,,q_phi(s)/q_phi(0)=exp(-2*K^2*s),tau=K^2*s; q divided by q(0),analytic heat-height profile; not physical-time evolution
profile_exact,7,exact_formula,0.087499999999999994,,,,,0.83945702076920736,,,,,,,,,,q_phi(s)/q_phi(0)=exp(-2*K^2*s),tau=K^2*s; q divided by q(0),analytic heat-height profile; not physical-time evolution
profile_exact,8,exact_formula,0.10000000000000001,,,,,0.81873075307798182,,,,,,,,,,q_phi(s)/q_phi(0)=exp(-2*K^2*s),tau=K^2*s; q divided by q(0),analytic heat-height profile; not physical-time evolution
profile_exact,9,exact_formula,0.1125,,,,,0.79851621875937706,,,,,,,,,,q_phi(s)/q_phi(0)=exp(-2*K^2*s),tau=K^2*s; q divided by q(0),analytic heat-height profile; not physical-time evolution
profile_exact,10,exact_formula,0.125,,,,,0.77880078307140488,,,,,,,,,,q_phi(s)/q_phi(0)=exp(-2*K^2*s),tau=K^2*s; q divided by q(0),analytic heat-height profile; not physical-time evolution
