sigma,steps,grid,maxMoment,momentBarrier,momentOverBarrier,momentRefinementRelativeDifference,action,scaledAction,actionRefinementRelativeDifference,liftedAction,kProxy,actionPoorRatio,tProxy,tOverV,cubic,cubicOverLogSigma,cubicOverSqrtSigma,cubicRefinementRelativeDifference,finalMass,maxHighModeMass,passed
16.0,3226,1024,1.7227907264810727,10.079368399158984,0.17092248822106962,3.6911733126164647e-06,2.926576229380146,6.702256483868654,0.00018176815429329525,749.2035147213173,2.7227907264810725,693.3601394129569,0.8579026599714553,0.3404588962312512,1.864947436095576,0.6726376043934187,0.466236859023894,5.426703050458093e-06,0.014722456223286603,4.994450619882836e-32,True
32.0,4064,1024,2.9370114929957807,15.999999999999998,0.18356321831223632,3.113577380008469e-06,2.5137431248889404,7.3106964082695365,0.00016799259588884077,2574.072959886275,3.9370114929957807,2075.7298431238023,1.2610491776692183,0.397205600974517,2.7224361931938597,0.7855290390114819,0.48126327338876695,5.478950568204266e-06,0.0020987752838544753,9.599731366485201e-32,True
64.0,5120,1024,4.927103884745794,25.398416831491186,0.19399255935656343,1.610453373203597e-08,2.05815907499124,7.918122375601275,0.0001628630497741897,8430.21957116412,5.927103884745794,5689.267294848962,1.9421189117607547,0.4855297279401887,3.62760941676182,0.8722556859740638,0.4534511770952275,2.2488611170382443e-05,0.00013499947965611288,6.592630431251178e-32,True
128.0,6451,1024,8.142323281930812,40.317473596635935,0.20195519598753336,3.252557691722222e-06,1.6173906846099009,8.466386348115678,0.00016443211624116215,26499.328976648616,9.142323281930812,14607.692752128352,3.11486033998976,0.6180665725542211,4.522839721880328,0.9321540624989098,0.39976632969518233,4.6703693553310055e-05,2.908969594554466e-06,1.174485421351447e-31,True
256.0,8128,1024,13.283321469729788,63.999999999999986,0.207551897964528,2.9811168525459813e-07,1.2295022542862903,8.939375731527065,0.00017172454816201328,80576.65973690632,14.283321469729788,35820.09260283589,5.1634544227349455,0.8131931146720675,5.376759751129403,0.9696280786257209,0.3360474844455877,3.222976023933824e-05,1.3507451242954905e-08,1.630800710723596e-31,True
512.0,10240,1024,21.46620368987979,101.59366732596474,0.21129470226726993,1.0520009700563658e-05,0.910413370760236,9.340080747767448,0.00018407066171562995,238659.4026645713,22.46620368987979,84984.32791191283,7.99924699085703,0.9999058738571288,6.178135148581639,0.9903516600889477,0.27303757866556466,0.0002144334373980394,7.196822291946002e-12,1.888497597822083e-31,True
1024.0,12902,1024,34.468791542507546,161.2698943865437,0.21373357794784795,3.9413007975722505e-06,0.6603398461555802,9.678513962678801,0.00020140757524897906,692416.5145224336,35.468791542507546,196767.94252121903,10.07885211351717,0.9999487779768168,6.92868960878884,0.9995986138458551,0.21652155027465125,5.494155460399981e-05,1.8006372549141378e-16,1.6934442521942998e-31,True
2048.0,16255,1024,55.11674154260136,255.99999999999991,0.21529977165078665,9.686446598482063e-06,0.47117272107603075,9.965871750927562,0.00022400542193377445,1976241.62870008,56.11674154260136,447223.1215292948,12.698847823219438,0.9999716051178663,7.633020613695776,1.0011019078529206,0.1686675199025308,0.00041168474023090305,5.974150387237364e-23,5.88154737976716e-31,True
8192.0,25804,1024,139.93800901830136,645.0795775461748,0.21693138938084672,3.0165279549466256e-06,0.23117271333069578,10.425439831823695,0.0002876199493636533,15513738.17942065,140.93800901830136,2218971.070297632,20.158553663448398,0.9999909153598561,8.942565353881768,0.9924149760669758,0.0988023219208387,0.0007997191224543341,5.700953370721518e-45,9.069615677433185e-31,True
32768.0,40960,1024,353.6823990879857,1625.4986772154357,0.21758393534583623,2.9110754025771415e-05,0.10942212036349389,10.776763761457005,0.00038277088837685726,117491107.10504547,354.6823990879857,10600231.184375139,31.999903398624895,0.9999969812070282,10.167368917701262,0.9778941810970799,0.056167308660405396,0.003047759883163538,7.265000841123492e-89,1.0546993406539978e-30,True
