sigma,steps,nmax,maxMoment,momentBarrier,momentOverBarrier,momentRefinementRelativeDifference,action,scaledAction,actionRefinementRelativeDifference,liftedAction,kProxy,actionPoorRatio,tProxy,tOverV,cubic,cubicOverLogSigma,cubicOverSqrtSigma,cubicRefinementRelativeDifference,finalMass,boundaryMass,passed
16.0,4032,48,1.7227909391663174,10.079368399158984,0.17092250932211844,1.0316807990351035e-06,2.9266825534894325,6.702499980499189,0.00014541704520314898,749.2307336932947,2.7227909391663174,693.3852754023001,0.8578716056440809,0.3404465723132656,1.8649447125961907,0.6726366220986544,0.46623617814904766,1.6889096151445583e-06,0.014722457566736133,1.8063372957617508e-143,True
32.0,5080,62,2.937008720653693,15.999999999999998,0.18356304504085583,6.431469390720679e-07,2.513827569629686,7.310941998145747,0.00013437888737129704,2574.1594313007986,3.937008720653693,2075.8010353110326,1.2610068824282705,0.3971922788084219,2.7224563618034296,0.7855348584420835,0.48126683872891546,5.525946177532848e-06,0.002098775620962083,1.8145026623870144e-173,True
64.0,6400,80,4.927108676621256,25.398416831491186,0.19399274802483732,1.5648846941954372e-06,2.0582261037543037,7.918380247772125,0.0001302755370570876,8430.494120977628,5.927108676621256,5689.4479794039635,1.9420557075089857,0.4855139268772465,3.627584949525771,0.8722498028473785,0.4534481186907214,1.4840150199490914e-06,0.00013499951657136355,4.22959173984327e-209,True
128.0,8064,107,8.142325456353218,40.317473596635935,0.20195524992003985,1.9239126928187634e-06,1.617443889783109,8.466664855687402,0.000131567688357978,26500.200690206457,9.142325456353218,14608.169807749531,3.1147579129790057,0.6180462484611435,4.522785706284822,0.9321429299229429,0.39976155534594826,2.3396718121830638e-05,2.9089709676833064e-06,9.049900265494577e-267,True
256.0,10160,144,13.283341519255789,63.999999999999986,0.20755221123837175,2.900872896441686e-06,1.2295444758149996,8.939682712752823,0.00013736442288972458,80579.42676701181,14.283341519255789,35821.27239470045,5.163277144168894,0.8131651950474345,5.376919553396956,0.969656896868086,0.33605747208730974,7.19269799914769e-05,1.3507462499332646e-08,0.0,True
512.0,12800,198,21.466228839823735,101.59366732596474,0.21129494982151822,7.10249038408003e-07,0.9104468833225827,9.340424558665262,0.00014723938964630303,238668.18778171513,22.466228839823735,84987.3610683252,7.999247017729019,0.9999058772161274,6.178304726254763,0.9903788432965102,0.2730450730107274,5.307975152646345e-06,7.196833376100562e-12,0.0,True
1024.0,16127,272,34.4687837414464,161.2698943865437,0.21373352957514222,6.498593268312858e-06,0.6603664405023418,9.678903752508932,0.000161099424185003,692444.4007161836,35.4687837414464,196775.91037883906,10.078852134421558,0.9999487800507948,6.928004106403761,0.999499716756708,0.21650012832511753,8.108299044406552e-05,1.8006412217159766e-16,0.0,True
2048.0,20319,379,55.11669396010288,255.99999999999991,0.21529958578165195,7.784607214455055e-07,0.4711938320154968,9.966318272777935,0.0001793318885223285,1976330.1743979263,56.11669396010288,447243.5386312999,12.698847839680372,0.9999716064140836,7.633510091697725,1.001166104897106,0.16867833594048143,1.6277164145137238e-05,5.973987518815218e-23,0.0,True
8192.0,32254,741,139.93817844515772,645.0795775461748,0.2169316520257393,8.830839744114858e-06,0.2311859208371647,10.426035464682073,0.0002437096418617897,15514624.520176051,140.93817844515772,2219095.1783065614,20.158553673690548,0.999990915867931,8.942598249527514,0.9924186267119746,0.09880268536981023,0.000541252908650904,5.588228428808726e-45,0.0,True
32768.0,51200,1465,353.6831231206193,1625.4986772154357,0.2175843807676897,2.493294488602527e-05,0.10942769186828913,10.777312487717971,0.0010765380067220087,117497089.46276674,354.6831231206193,10600749.282141287,31.999903403346146,0.9999969813545673,10.162887137166368,0.9774631249269436,0.05614255008690529,0.0056368071483352804,1.374247082371162e-92,0.0,True
