record_type,record_id,order_index,N,dimension,small_N,large_N,d_index,d_label,d,epsilon,regime,lambda_real,lambda_imag,decay_rate,first_order_decay_rate,rate_error_abs,projector_difference,projector_norm,left_right_overlap,right_embedded_residual,left_embedded_residual,right_algebraic_residual,left_algebraic_residual,fixed_contour_count,selected_inside_fixed_contour,cross_projector_difference,cross_lambda_difference,upstream_path,upstream_sha256
display_core_row,N160-e0-d00,1,160,321,,,0,0,0,0,core,0.17040797692043386,-1.3877787807814457e-16,,1.4703263285226171,,0,1.6835042049174922,0.59399911035506414,1.759597732253395e-15,1.2464496362283517e-15,1.7593310659784588e-15,1.2457489983793095e-15,1,true,,,experiments/r073k/viscous_branch_diagnostic.json,2842cbc7c7785ec4151efb172edce27e68f53d4ba077e0cca91e348627bf73c1
display_core_row,N160-e0-d01,2,160,321,,,1,1/7200,0.00013888888888888889,0,core,0.1703615240918091,1.3877787807814457e-16,,1.4700720003203325,,0,1.6833990783041441,0.59403620501408361,2.0097036573647005e-15,1.1088721463948311e-15,2.0082635944817986e-15,1.1073360188921443e-15,1,true,,,experiments/r073k/viscous_branch_diagnostic.json,2842cbc7c7785ec4151efb172edce27e68f53d4ba077e0cca91e348627bf73c1
display_core_row,N160-e0-d02,3,160,321,,,2,1/3600,0.00027777777777777778,0,core,0.17031509213905124,-3.3306690738754696e-16,,1.4698176697170884,,0,1.6832939872134862,0.59407329176966506,1.9022401947691626e-15,1.3042193279518111e-15,1.9018415971857271e-15,1.302533127975557e-15,1,true,,,experiments/r073k/viscous_branch_diagnostic.json,2842cbc7c7785ec4151efb172edce27e68f53d4ba077e0cca91e348627bf73c1
display_core_row,N160-e0-d03,4,160,321,,,3,1/2400,0.00041666666666666669,0,core,0.17026868105010598,-1.6653345369377348e-16,,1.4695633367440657,,0,1.6831889316544346,0.59411037061483241,2.0572651203410456e-15,1.6110759343988252e-15,2.0553271192748553e-15,1.6101712010754395e-15,1,true,,,experiments/r073k/viscous_branch_diagnostic.json,2842cbc7c7785ec4151efb172edce27e68f53d4ba077e0cca91e348627bf73c1
display_core_row,N160-e0-d04,5,160,321,,,4,1/1800,0.00055555555555555556,0,core,0.17022229081294005,-1.3877787807814457e-16,,1.4693090014322587,,0,1.6830839116358274,0.59414744154263666,1.9501460682468748e-15,1.1268341245200163e-15,1.9492233737786713e-15,1.1265346897509368e-15,1,true,,,experiments/r073k/viscous_branch_diagnostic.json,2842cbc7c7785ec4151efb172edce27e68f53d4ba077e0cca91e348627bf73c1
display_core_row,N160-e0-d05,6,160,321,,,5,1/1440,0.00069444444444444447,0,core,0.17017592141551502,8.3266726846886741e-17,,1.4690546638127373,,0,1.6829789271665383,0.59418450454611405,1.9695013608747031e-15,1.0648978405975046e-15,1.9681906149948014e-15,1.0645926168857804e-15,1,true,,,experiments/r073k/viscous_branch_diagnostic.json,2842cbc7c7785ec4151efb172edce27e68f53d4ba077e0cca91e348627bf73c1
display_core_row,N160-e0-d06,7,160,321,,,6,1/1200,0.00083333333333333339,0,core,0.17012957284581093,-4.7184478546569153e-16,,1.4688003239164724,,0,1.6828739782553599,0.59422155961832801,1.9530816059360165e-15,1.2978434423116756e-15,1.9514997716854805e-15,1.2966368778803332e-15,1,true,,,experiments/r073k/viscous_branch_diagnostic.json,2842cbc7c7785ec4151efb172edce27e68f53d4ba077e0cca91e348627bf73c1
display_core_row,N160-e0-d07,8,160,321,,,7,7/7200,0.00097222222222222219,0,core,0.17008324509181355,8.1878948066105295e-16,,1.4685459817744195,,0,1.6827690649110707,0.59425860675234532,2.0485369509750152e-15,1.3030798929480486e-15,2.0472227220617003e-15,1.2996986474106919e-15,1,true,,,experiments/r073k/viscous_branch_diagnostic.json,2842cbc7c7785ec4151efb172edce27e68f53d4ba077e0cca91e348627bf73c1
display_core_row,N160-e0-d08,9,160,321,,,8,1/900,0.0011111111111111111,0,core,0.17003693814151855,-2.7755575615628914e-16,,1.4682916374177604,,0,1.6826641871424228,0.5942956459412414,2.5813557832618958e-15,2.0609458149463603e-15,2.5809121181534308e-15,2.0602075347286721e-15,1,true,,,experiments/r073k/viscous_branch_diagnostic.json,2842cbc7c7785ec4151efb172edce27e68f53d4ba077e0cca91e348627bf73c1
display_core_row,N160-e0-d09,10,160,321,,,9,1/800,0.00125,0,core,0.16999065198292276,-5.5511151231257827e-17,,1.4680372908774086,,0,1.6825593449581542,0.59433267717809424,1.8991627958039745e-15,1.1996561026166372e-15,1.8976389455708679e-15,1.1971445957561959e-15,1,true,,,experiments/r073k/viscous_branch_diagnostic.json,2842cbc7c7785ec4151efb172edce27e68f53d4ba077e0cca91e348627bf73c1
