panel,kind,series,x,y,z,alpha,resolution,timeSteps,powerIterations,normEstimate,powerResidual,adjointDefect,relativeToFine,formula,status
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-4,10,-3.1415926535897931,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.9996192364411254,9.9987054073794734,-3.1328660073298216,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.9984770443509738,9.9948220064655491,-3.12413936106985,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.9965737194602622,9.988350927987705,-3.115412714809878,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.9939097545578397,9.9792940561167853,-3.1066860685499065,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.9904858393472065,9.9676540278976802,-3.0979594222899349,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.9863028602456945,9.9534342324553347,-3.0892327760299634,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.9813619001263776,9.9366388099743101,-3.0805061297699914,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.9756642380027891,9.91727265045221,-3.0717794835100198,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.9692113486565312,9.8953413922273565,-3.0630528372500483,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.9620049022079069,9.8708514202811557,-3.0543261909900767,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.9540467636296857,9.84380986431567,-3.0455995447301052,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.9453389922041575,9.8142245966069908,-3.0368728984701332,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.935883840923645,9.7821042296350562,-3.0281462522101616,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.9256837558346369,9.747458113490616,-3.0194196059501901,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.9147413753257574,9.7102963330601675,-3.0106929596902186,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.9030595293597781,9.6706297049896897,-3.0019663134302466,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.8906412386499043,9.6284697744281154,-2.993239667170275,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.8774897137805824,9.5838288115515038,-2.9845130209103035,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.8636083542730963,9.5367198078689981,-2.9757863746503319,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.8490007475962331,9.4871564723116837,-2.9670597283903604,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.8336706681223118,9.4351532271055216,-2.9583330821303884,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.8176220760289024,9.3807252034296269,-2.9496064358704168,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.8008591161465395,9.3238882368611815,-2.9408797896104453,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.7833861167528129,9.2646588626084174,-2.9321531433504737,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.7652075883131659,9.203054310533064,-2.9234264970905017,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.7463282221688039,9.1390924999638052,-2.9146998508305302,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.7267528891720887,9.0727920343022959,-2.9059732045705586,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.7064866382698467,9.0041721954234095,-2.8972465583105871,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.6855346950350061,8.9332529378713783,-2.8885199120506151,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.6639024601470132,8.8600548828536425,-2.8797932657906435,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.6415955078214699,8.7845993120341426,-2.871066619530672,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.6186195841894895,8.7069081611280446,-2.8623399732707004,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.5949806056272342,8.6270040132997785,-2.8536133270107289,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
A,exact-coefficient-geometry,"(alpha^2 V_X, V_SX) at S=0",-3.5706846570361535,8.5449100923664005,-2.8448866807507569,,,,,,,,,"(2(cos(z)-cos(2z)),2(-cos(z)+4cos(2z)))",exact analytic identity
