record_type,label,u,v,w,target_fraction_percent,xmin,xmax,ymin,ymax,classification
root,interior global maximum,0.8643125563687636,0.8498270084303075,0.7238258979292568,5.951869867721924,,,,,strict local maximum of target fraction
root,interior saddle,0.9935935544282275,0.5522477354149978,0.3810279228617828,0.03587940636110772,,,,,nondegenerate saddle
strip,x=0 analytic strip,,,,,0.6000000000000000,0.7142857142857143,0.0000000000000000,0.1111111111111111,exact negative sign
strip,x=0 dyadic core,,,,,0.6250000000000000,0.6875000000000000,0.0000000000000000,0.0625000000000000,delegated global-audit region
strip,x=infinity analytic strip,,,,,0.7142857142857143,0.7777777777777778,0.8000000000000000,1.0000000000000000,exact positive sign
strip,x=infinity dyadic core,,,,,0.7343750000000000,0.7656250000000000,0.8750000000000000,1.0000000000000000,delegated global-audit region
maximum,positive interior,,,,5.951869867721924,,,,,global maximum
maximum,q=0 boundary closure,,,,3.280940959752690,,,,,boundary maximum
maximum,p=0 boundary closure,,,,2.966036785218521,,,,,boundary maximum
maximum,q=infinity boundary closure,,,,2.966036785218521,,,,,boundary maximum
maximum,p=infinity boundary closure,,,,0.055982887176158,,,,,boundary maximum
maximum,x=0 or x=infinity,,,,0.000000000000000,,,,,boundary limit
