panel,row_role,sample_index,time_t,axisymmetric_axial_weight_p,axisymmetric_source_correlation_q,anisotropy_norm_square,correlation_grid_q,frozen_source_production,periodic_shear_probability_p,diffusion_anisotropy_production_over_nu,exact_summary
A,frozen-source-trajectory,0,0,0.33333333333333331,0,0,,,,,
A,frozen-source-trajectory,1,0.033333333333333333,0.35591307120722032,0.03386960681083049,0.00076476684368017005,,,,,
A,frozen-source-trajectory,2,0.066666666666666666,0.37915245309398882,0.068728679640983156,0.0031490876034619285,,,,,
A,frozen-source-trajectory,3,0.10000000000000001,0.40295991118287661,0.10443986677431491,0.0072717905145577647,,,,,
A,frozen-source-trajectory,4,0.13333333333333333,0.42723356033566029,0.14085034050349041,0.013225878946632795,,,,,
A,frozen-source-trajectory,5,0.16666666666666666,0.45186276187760605,0.17779414281640907,0.021073838146547775,,,,,
A,frozen-source-trajectory,6,0.20000000000000001,0.47673002738803977,0.21509504108205965,0.03084391779872862,,,,,
A,frozen-source-trajectory,7,0.23333333333333334,0.5017131981555415,0.2525697972333123,0.042527668316317657,,,,,
A,frozen-source-trajectory,8,0.26666666666666666,0.52668781728886649,0.29003172593329968,0.056078934698565765,,,,,
A,frozen-source-trajectory,9,0.29999999999999999,0.55152959800471058,0.32729439700706597,0.071414414874812607,,,,,
A,frozen-source-trajectory,10,0.33333333333333331,0.57611688476582912,0.36417532714874368,0.088415779269262987,,,,,
A,frozen-source-trajectory,11,0.36666666666666664,0.60033300445480808,0.40049950668221201,0.10693323656846344,,,,,
A,frozen-source-trajectory,12,0.40000000000000002,0.62406841258457812,0.43610261887686713,0.12679032946084134,,,,,
A,frozen-source-trajectory,13,0.43333333333333335,0.64722255382696758,0.47083383074045138,0.147789664113152,,,,,
A,frozen-source-trajectory,14,0.46666666666666667,0.66970537538792674,0.50455806308189022,0.1697192260139658,,,,,
A,frozen-source-trajectory,15,0.5,0.69143845403622761,0.53715768105434136,0.19235891621045167,,,,,
A,frozen-source-trajectory,16,0.53333333333333333,0.71235572079559351,0.56853358119339026,0.21548695529638751,,,,,
A,frozen-source-trajectory,17,0.56666666666666665,0.7324037894334432,0.5986056841501648,0.2388858433979246,,,,,
A,frozen-source-trajectory,18,0.59999999999999998,0.75154191424632044,0.62731287136948066,0.26234762572388176,,,,,
A,frozen-source-trajectory,19,0.6333333333333333,0.76974161805779684,0.6546124270866952,0.28567828646422255,,,,,
A,frozen-source-trajectory,20,0.66666666666666663,0.78698604216159851,0.68047906324239771,0.30870117034083405,,,,,
A,frozen-source-trajectory,21,0.69999999999999996,0.80326907604332332,0.70490361406498503,0.33125940341458487,,,,,
A,frozen-source-trajectory,22,0.73333333333333328,0.81859432642847518,0.72789148964271277,0.35321734712952496,,,,,
A,frozen-source-trajectory,23,0.76666666666666661,0.83297398318865468,0.7494609747829819,0.37446116848177163,,,,,
A,frozen-source-trajectory,24,0.80000000000000004,0.84642763473794957,0.76964145210692436,0.39489864320083679,,,,,
A,frozen-source-trajectory,25,0.83333333333333337,0.85898107867758988,0.78847161801638477,0.41445832827825052,,,,,
A,frozen-source-trajectory,26,0.8666666666666667,0.87066516546820294,0.80599774820230441,0.43308824673812357,,,,,
