panel,series,x,y,M,scaledTime,normalization,evidence,source,note
A,M=8,0.0,1.414213562373095,8,0.0,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
A,M=8,0.05,1.292466856047302,8,0.05,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
A,M=8,0.1,1.183482548440464,8,0.1,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
A,M=8,0.15000000000000002,1.0856835188057021,8,0.15000000000000002,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
A,M=8,0.2,0.9977106477032749,8,0.2,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
A,M=8,0.25,0.9183905342741937,8,0.25,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
A,M=8,0.30000000000000004,0.8467081967190536,8,0.30000000000000004,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
A,M=8,0.35000000000000003,0.7817839670079906,8,0.35000000000000003,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
A,M=8,0.4,0.722853917733485,8,0.4,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
A,M=8,0.45,0.6692532653017662,8,0.45,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
A,M=8,0.5,0.6204022827044736,8,0.5,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
A,M=8,0.55,0.5757943297328821,8,0.55,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
A,M=8,0.6000000000000001,0.5349856710447144,8,0.6000000000000001,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
A,M=8,0.65,0.4975868049357175,8,0.65,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
A,M=8,0.7000000000000001,0.46325506965023927,8,0.7000000000000001,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
A,M=8,0.75,0.43168833096334674,8,0.75,||V_M||/(2|K_z|a*sqrt(M)),deterministic FFT phase-grid sample,direct shifted Rudin--Shapiro reconstruction,phaseGrid=32768; r_j=8+j
