sampleIndex,epsilonExact,muExact,muDecimal,normalGainSquaredExact,normalGainDecimal,planarGainSquaredExact,planarGainDecimal,formalPlanarUpperBoundExact,classification
17,1/8,-383/400,-0.95750000000000002,13311/160000,0.28843326784544115,2495666079/32128000000,0.2787092563415649,9/16,exact squared-gain presentation row
18,1/8,-191/200,-0.95499999999999996,3519/40000,0.2966057989992778,285039/3484375,0.28601558488691881,9/16,exact squared-gain presentation row
19,1/8,-381/400,-0.95250000000000001,14839/160000,0.30453858540421441,2756507479/32096000000,0.29305837147482339,9/16,exact squared-gain presentation row
20,1/8,-19/20,-0.94999999999999996,39/400,0.31224989991991992,72111/802000,0.29985657419386652,9/16,exact squared-gain presentation row
21,1/8,-379/400,-0.94750000000000001,16359/160000,0.31975576617162044,1003575573/10688000000,0.30642685120346919,9/16,exact squared-gain presentation row
22,1/8,-189/200,-0.94499999999999995,4279/40000,0.32707032882852582,48990271/500750000,0.3127839371083983,9/16,exact squared-gain presentation row
23,1/8,-377/400,-0.9425,17871/160000,0.33420614895599993,465485937/4576000000,0.31894094342582707,9/16,exact squared-gain presentation row
24,1/8,-47/50,-0.93999999999999995,291/2500,0.3411744421846396,4400793/41687500,0.32490960108245837,9/16,exact squared-gain presentation row
25,1/8,-15/16,-0.9375,31/256,0.34798527267687634,8959/81920,0.33070045807157572,9/16,exact squared-gain presentation row
26,1/8,-187/200,-0.93500000000000005,5031/40000,0.35464771252610666,14132079/124937500,0.33632304202105623,9/16,exact squared-gain presentation row
27,1/8,-373/400,-0.9325,20871/160000,0.36116997383503519,138312117/1184000000,0.34178599501023316,9/16,exact squared-gain presentation row
28,1/8,-93/100,-0.93000000000000005,1351/10000,0.36755951898978212,60147871/499250000,0.34709718622458974,9/16,exact squared-gain presentation row
29,1/8,-371/400,-0.92749999999999999,22359/160000,0.37382315337603156,3962931519/31936000000,0.35226380675261787,9/16,exact squared-gain presentation row
30,1/8,-37/40,-0.92500000000000004,231/1600,0.37996710383926657,4851/38000,0.3572924498738283,9/16,exact squared-gain presentation row
31,1/8,-369/400,-0.92249999999999999,23839/160000,0.38599708548122486,4185198679/31904000000,0.36218917946830187,9/16,exact squared-gain presentation row
32,1/8,-23/25,-0.92000000000000004,96/625,0.39191835884530846,4193376/31140625,0.3669595886319244,9/16,exact squared-gain presentation row
33,1/8,-367/400,-0.91749999999999998,25311/160000,0.39773577912981378,1467101493/10624000000,0.37160885016213663,9/16,exact squared-gain presentation row
34,1/8,-183/200,-0.91500000000000004,6511/40000,0.40345383874738383,4401436/31109375,0.37614176025420532,9/16,exact squared-gain presentation row
35,1/8,-73/80,-0.91249999999999998,1071/6400,0.4090767042988393,7378119/50944000,0.38056277649425341,9/16,exact squared-gain presentation row
36,1/8,-91/100,-0.91000000000000003,1719/10000,0.41460824883255759,8184159/55250000,0.38487605103543854,9/16,exact squared-gain presentation row
37,1/8,-363/400,-0.90749999999999997,28231/160000,0.4200520801043604,687904777/4544000000,0.38908545968511887,9/16,exact squared-gain presentation row
38,1/8,-181/200,-0.90500000000000003,7239/40000,0.42541156542811576,76798551/496750000,0.39319462750416351,9/16,exact squared-gain presentation row
39,1/8,-361/400,-0.90249999999999997,29679/160000,0.43068985360697787,1671135453/10592000000,0.39720695141768569,9/16,exact squared-gain presentation row
40,1/8,-9/10,-0.90000000000000002,19/100,0.43588989435406733,31939/198500,0.40112562025403137,9/16,exact squared-gain presentation row
41,1/8,-359/400,-0.89749999999999996,31119/160000,0.44101445554539365,5205617439/31744000000,0.40495363256174105,9/16,exact squared-gain presentation row
42,1/8,-179/200,-0.89500000000000002,7959/40000,0.44606613859381888,6900453/41312500,0.40869381249927078,9/16,exact squared-gain presentation row
43,1/8,-357/400,-0.89249999999999996,32551/160000,0.45104739218844841,5392040599/31712000000,0.41234882404705231,9/16,exact squared-gain presentation row
44,1/8,-89/100,-0.89000000000000001,2079/10000,0.45596052460711989,12239073/70750000,0.41592118375409343,9/16,exact squared-gain presentation row
45,1/8,-71/80,-0.88749999999999996,1359/6400,0.46080771477916904,990711/5632000,0.41941327220025748,9/16,exact squared-gain presentation row
46,1/8,-177/200,-0.88500000000000001,8671/40000,0.46559102225021476,88452871/494750000,0.42282734432943569,9/16,exact squared-gain presentation row
47,1/8,-353/400,-0.88249999999999995,35391/160000,0.47031239617939052,5747816919/31648000000,0.42616553878709701,9/16,exact squared-gain presentation row
48,1/8,-22/25,-0.88,141/625,0.4749736834815167,1898847/10296875,0.42942988637740653,9/16,exact squared-gain presentation row
49,1/8,-351/400,-0.87749999999999995,36799/160000,0.47957663621156527,5917315999/31616000000,0.43262231773965054,9/16,exact squared-gain presentation row
50,1/8,-7/8,-0.875,15/64,0.48412291827592713,15/79,0.43574467033059511,9/16,exact squared-gain presentation row
51,1/8,-349/400,-0.87250000000000005,38199/160000,0.48861411154406909,289586619/1504000000,0.43879869478825062,9/16,exact squared-gain presentation row
52,1/8,-87/100,-0.87,2431/10000,0.49305172142484199,96270031/493250000,0.44178606074298205,9/16,exact squared-gain presentation row
53,1/8,-347/400,-0.86750000000000005,39591/160000,0.49743718196371289,6239897919/31552000000,0.44470836213373977,9/16,exact squared-gain presentation row
54,1/8,-173/200,-0.86499999999999999,10071/40000,0.50177186051033196,3655773/18250000,0.44756712208016719,9/16,exact squared-gain presentation row
55,1/8,-69/80,-0.86250000000000004,1639/6400,0.50605706199992906,10228999/50432000,0.45036379735528714,9/16,exact squared-gain presentation row
56,1/8,-43/50,-0.85999999999999999,651/2500,0.51029403288692299,25264659/123062500,0.45309978249823651,9/16,exact squared-gain presentation row
57,1/8,-343/400,-0.85750000000000004,42351/160000,0.51448396476469505,2180356533/10496000000,0.45577641360198112,9/16,exact squared-gain presentation row
58,1/8,-171/200,-0.85499999999999998,10759/40000,0.51862799770162815,3690337/17562500,0.45839497180699523,9/16,exact squared-gain presentation row
59,1/8,-341/400,-0.85250000000000004,43719/160000,0.52272722332015575,6683804439/31456000000,0.4609566865284524,9/16,exact squared-gain presentation row
60,1/8,-17/20,-0.84999999999999998,111/400,0.52678268764263692,56277/262000,0.46346273844146751,9/16,exact squared-gain presentation row
61,1/8,-339/400,-0.84750000000000003,45079/160000,0.5307953937253036,6821399359/31424000000,0.46591426224629701,9/16,exact squared-gain presentation row
62,1/8,-169/200,-0.84499999999999997,11439/40000,0.53476630409927661,107629551/490750000,0.46831234923309256,9/16,exact squared-gain presentation row
63,1/8,-337/400,-0.84250000000000003,46431/160000,0.53869634303566605,772658271/3488000000,0.4706580496637689,9/16,exact squared-gain presentation row
64,1/8,-21/25,-0.83999999999999997,184/625,0.54258639865002145,6853816/30640625,0.47295237498675213,9/16,exact squared-gain presentation row
65,1/8,-67/80,-0.83750000000000002,1911/6400,0.54643732485985985,231231/1024000,0.4751962998987892,9/16,exact squared-gain presentation row
66,1/8,-167/200,-0.83499999999999996,12111/40000,0.55024994320762999,2325312/10203125,0.47739076426659577,9/16,exact squared-gain presentation row
67,1/8,-333/400,-0.83250000000000002,49111/160000,0.55402504456026169,7204043479/31328000000,0.4795366749198724,9/16,exact squared-gain presentation row
68,1/8,-83/100,-0.82999999999999996,3111/10000,0.55776339069537362,113492391/489250000,0.48163490732611275,9/16,exact squared-gain presentation row
69,1/8,-331/400,-0.82750000000000001,50439/160000,0.56146571578325244,2440591893/10432000000,0.48368630715664074,9/16,exact squared-gain presentation row
70,1/8,-33/40,-0.82499999999999996,511/1600,0.56513272777286583,184471/782000,0.48569169175243276,9/16,exact squared-gain presentation row
71,1/8,-329/400,-0.82250000000000001,51759/160000,0.56876510968940419,7434714519/31264000000,0.48765185149749563,9/16,exact squared-gain presentation row
72,1/8,-41/50,-0.81999999999999995,819/2500,0.5723635208501674,464373/1937500,0.48956755110686634,9/16,exact squared-gain presentation row
73,1/8,-327/400,-0.8175,53071/160000,0.57592859800499574,7542928159/31232000000,0.4914395308356681,9/16,exact squared-gain presentation row
74,1/8,-163/200,-0.81499999999999995,13431/40000,0.57946095640690065,29669079/121937500,0.49326850761508995,9/16,exact squared-gain presentation row
75,1/8,-13/16,-0.8125,87/256,0.58296119081805098,6525/26624,0.49505517612064837,9/16,exact squared-gain presentation row
76,1/8,-81/100,-0.81000000000000005,3439/10000,0.58642987645583,120258391/487250000,0.49680020977762773,9/16,exact squared-gain presentation row
77,1/8,-323/400,-0.8075,55671/160000,0.58986756988327471,7745450559/31168000000,0.49850426170818418,9/16,exact squared-gain presentation row
78,1/8,-161/200,-0.80500000000000005,14079/40000,0.59327480984784786,40589757/162250000,0.50016796562422094,9/16,exact squared-gain presentation row
79,1/8,-321/400,-0.80249999999999999,56959/160000,0.59665211807216434,1119984817/4448000000,0.50179193666980593,9/16,exact squared-gain presentation row
80,1/8,-4/5,-0.80000000000000004,9/25,0.59999999999999998,12321/48625,0.50337677221659516,9/16,exact squared-gain presentation row
81,1/8,-319/400,-0.79749999999999999,58239/160000,0.60331894550063647,32633253/128000000,0.50492305261544557,9/16,exact squared-gain presentation row
82,1/8,-159/200,-0.79500000000000004,14719/40000,0.60660942953435859,7786351/30359375,0.50643134190715089,9/16,exact squared-gain presentation row
83,1/8,-317/400,-0.79249999999999998,59511/160000,0.60987191278169228,8015477079/31072000000,0.50790218849500179,9/16,exact squared-gain presentation row
84,1/8,-79/100,-0.79000000000000004,3759/10000,0.61310684223877332,41961717/161750000,0.5093361257816641,9/16,exact squared-gain presentation row
85,1/8,-63/80,-0.78749999999999998,2431/6400,0.61631465178105249,12954799/49664000,0.51073367277267512,9/16,exact squared-gain presentation row
86,1/8,-157/200,-0.78500000000000003,15351/40000,0.61949576269737305,18160233/69250000,0.51209533464868928,9/16,exact squared-gain presentation row
87,1/8,-313/400,-0.78249999999999997,62031/160000,0.62265058419630503,2724587613/10336000000,0.51342160330843889,9/16,exact squared-gain presentation row
88,1/8,-39/50,-0.78000000000000003,979/2500,0.62577951388648068,32073019/121062500,0.51471295788423577,9/16,exact squared-gain presentation row
89,1/8,-311/400,-0.77749999999999997,63279/160000,0.62888293823254582,8246582559/30976000000,0.5159698652317023,9/16,exact squared-gain presentation row
90,1/8,-31/40,-0.77500000000000002,639/1600,0.63196123298822693,5751/21500,0.51719278039530214,9/16,exact squared-gain presentation row
91,1/8,-309/400,-0.77249999999999996,64519/160000,0.63501476360790232,8315273239/30944000000,0.51838214705112484,9/16,exact squared-gain presentation row
92,1/8,-77/100,-0.77000000000000002,4071/10000,0.63804388563797088,130438911/483250000,0.51953839792827927,9/16,exact squared-gain presentation row
93,1/8,-307/400,-0.76749999999999996,65751/160000,0.64104894508921861,399042819/1472000000,0.52066195521015446,9/16,exact squared-gain presentation row
94,1/8,-153/200,-0.76500000000000001,16591/40000,0.64403027879130026,131417311/482750000,0.5217532309167191,9/16,exact squared-gain presentation row
95,1/8,-61/80,-0.76249999999999996,2679/6400,0.64698821473037671,13504839/49408000,0.52281262726895317,9/16,exact squared-gain presentation row
96,1/8,-19/25,-0.76000000000000001,264/625,0.64992307237087688,2756952/10046875,0.52384053703642752,9/16,exact squared-gain presentation row
97,1/8,-303/400,-0.75749999999999995,68191/160000,0.65283516296229016,8497212319/30848000000,0.52483734386898406,9/16,exact squared-gain presentation row
98,1/8,-151/200,-0.755,17199/40000,0.6557247898318318,8324316/30109375,0.52580342261340107,9/16,exact squared-gain presentation row
99,1/8,-301/400,-0.75249999999999995,69399/160000,0.6585922486637692,950002911/3424000000,0.52673913961587382,9/16,exact squared-gain presentation row
100,1/8,-3/4,-0.75,7/16,0.66143782776614768,49/176,0.52764485301108632,9/16,exact squared-gain presentation row
101,1/8,-299/400,-0.74750000000000005,70599/160000,0.66426180832560289,8599028799/30784000000,0.52852091299859749,9/16,exact squared-gain presentation row
102,1/8,-149/200,-0.745,17799/40000,0.66706446465090619,44906877/160250000,0.5293676621072233,9/16,exact squared-gain presentation row
103,1/8,-297/400,-0.74250000000000005,71791/160000,0.66984606440584538,8644282519/30752000000,0.53018543544804997,9/16,exact squared-gain presentation row
104,1/8,-37/50,-0.73999999999999999,1131/2500,0.67260686883200949,33849699/120062500,0.53097456095667495,9/16,exact squared-gain presentation row
105,1/8,-59/80,-0.73750000000000004,2919/6400,0.67534713296200499,4632453/16384000,0.5317353596252381,9/16,exact squared-gain presentation row
106,1/8,-147/200,-0.73499999999999999,18391/40000,0.67806710582360508,34004959/119937500,0.53246814572476397,9/16,exact squared-gain presentation row
107,1/8,-293/400,-0.73250000000000004,74151/160000,0.68076703063529742,1246255857/4384000000,0.53317322701831538,9/16,exact squared-gain presentation row
108,1/8,-73/100,-0.72999999999999998,4671/10000,0.6834471449936711,5058693/17750000,0.53385090496541665,9/16,exact squared-gain presentation row
109,1/8,-291/400,-0.72750000000000004,75319/160000,0.68610768105305453,8758168639/30656000000,0.53450147491818778,9/16,exact squared-gain presentation row
110,1/8,-29/40,-0.72499999999999998,759/1600,0.68874886569779559,219351/766000,0.53512522630959769,9/16,exact squared-gain presentation row
111,1/8,-289/400,-0.72250000000000003,76479/160000,0.69137092070754613,2929681053/10208000000,0.5357224428342251,9/16,exact squared-gain presentation row
112,1/8,-18/25,-0.71999999999999997,301/625,0.69397406291589891,8596861/29890625,0.53629340262189107,9/16,exact squared-gain presentation row
113,1/8,-287/400,-0.71750000000000003,77631/160000,0.69655850436269884,8816475039/30592000000,0.53683837840450754,9/16,exact squared-gain presentation row
114,1/8,-143/200,-0.71499999999999997,19551/40000,0.69912445244033627,58653/203125,0.53735763767646472,9/16,exact squared-gain presentation row
115,1/8,-57/80,-0.71250000000000002,3151/6400,0.7016721100343094,14144839/48896000,0.53785144284886632,9/16,exact squared-gain presentation row
116,1/8,-71/100,-0.70999999999999996,4959/10000,0.70420167565833014,138301551/477250000,0.53832005139789763,9/16,exact squared-gain presentation row
117,1/8,-283/400,-0.70750000000000002,79911/160000,0.70671334358422866,984583431/3392000000,0.53876371600760264,9/16,exact squared-gain presentation row
118,1/8,-141/200,-0.70499999999999996,20119/40000,0.70920730396690079,138599791/476750000,0.53918268470732755,9/16,exact squared-gain presentation row
119,1/8,-281/400,-0.70250000000000001,81039/160000,0.71168374296452774,8878713879/30496000000,0.53957720100407258,9/16,exact squared-gain presentation row
120,1/8,-7/10,-0.69999999999999996,51/100,0.71414284285428498,18513/63500,0.53994750400998637,9/16,exact squared-gain presentation row
121,1/8,-279/400,-0.69750000000000001,82159/160000,0.71658478214374599,1270424617/4352000000,0.54029382856521857,9/16,exact squared-gain presentation row
122,1/8,-139/200,-0.69499999999999995,20679/40000,0.71900973567817561,34761399/118937500,0.54061640535633948,9/16,exact squared-gain presentation row
123,1/8,-277/400,-0.6925,83271/160000,0.72141787474389629,2968028253/10144000000,0.54091546103052113,9/16,exact squared-gain presentation row
124,1/8,-69/100,-0.68999999999999995,5239/10000,0.7238093671679029,139194991/475250000,0.54119121830566785,9/16,exact squared-gain presentation row
125,1/8,-11/16,-0.6875,135/256,0.72618437741389064,22815/77824,0.54144389607667043,9/16,exact squared-gain presentation row
126,1/8,-137/200,-0.68500000000000005,21231/40000,0.72854306667485347,15477399/52750000,0.5416737095179518,9/16,exact squared-gain presentation row
127,1/8,-273/400,-0.6825,85471/160000,0.73088559296240063,8917103959/30368000000,0.54188087018246456,9/16,exact squared-gain presentation row
128,1/8,-17/25,-0.68000000000000005,336/625,0.73321211119293439,1244208/4234375,0.54206558609728794,9/16,exact squared-gain presentation row
129,1/8,-271/400,-0.67749999999999999,86559/160000,0.73552277327082138,2973041973/10112000000,0.54222806185597061,9/16,exact squared-gain presentation row
130,1/8,-27/40,-0.67500000000000004,871/1600,0.73781772816868529,13936/47375,0.5423684987077525,9/16,exact squared-gain presentation row
131,1/8,-269/400,-0.67249999999999999,87639/160000,0.74009712200494338,8918232279/30304000000,0.54248709464379763,9/16,exact squared-gain presentation row
132,1/8,-67/100,-0.67000000000000004,5511/10000,0.74236109811869855,46441197/157750000,0.54258404448055897,9/16,exact squared-gain presentation row
133,1/8,-267/400,-0.66749999999999998,88711/160000,0.74460979714210052,8914479679/30272000000,0.54265953994039318,9/16,exact squared-gain presentation row
134,1/8,-133/200,-0.66500000000000004,22311/40000,0.74684335707027616,139242951/472750000,0.54271376972953755,9/16,exact squared-gain presentation row
135,1/8,-53/80,-0.66249999999999998,3591/6400,0.74906191332893168,75411/256000,0.54274691961355248,9/16,exact squared-gain presentation row
136,1/8,-33/50,-0.66000000000000003,1411/2500,0.751265598839718,34779739/118062500,0.54275917249033456,9/16,exact squared-gain presentation row
137,1/8,-263/400,-0.65749999999999997,90831/160000,0.75345454408345036,8898622239/30208000000,0.5427507084607931,9/16,exact squared-gain presentation row
138,1/8,-131/200,-0.65500000000000003,22839/40000,0.75562887716126892,11579373/39312500,0.54272170489728311,9/16,exact squared-gain presentation row
139,1/8,-261/400,-0.65249999999999997,91879/160000,0.75778872385381935,8886628759/30176000000,0.54267233650988378,9/16,exact squared-gain presentation row
140,1/8,-13/20,-0.65000000000000002,231/400,0.75993420767853315,221991/754000,0.54260277541060287,9/16,exact squared-gain presentation row
141,1/8,-259/400,-0.64749999999999996,92919/160000,0.76206544994508185,2957333013/10048000000,0.54251319117559005,9/16,exact squared-gain presentation row
142,1/8,-129/200,-0.64500000000000002,23359/40000,0.76418256980907384,19785073/67250000,0.54240375090543258,9/16,exact squared-gain presentation row
143,1/8,-257/400,-0.64249999999999996,93951/160000,0.76628568432406463,8854787799/30112000000,0.54227461928360776,9/16,exact squared-gain presentation row
144,1/8,-16/25,-0.64000000000000001,369/625,0.7683749084919419,959769/3265625,0.54212595863316071,9/16,exact squared-gain presentation row
145,1/8,-51/80,-0.63749999999999996,3799/6400,0.77045035531174888,14136079/48128000,0.54195792897167394,9/16,exact squared-gain presentation row
146,1/8,-127/200,-0.63500000000000001,23871/40000,0.7725121358270044,8617431/29359375,0.54177068806459239,9/16,exact squared-gain presentation row
147,1/8,-253/400,-0.63249999999999995,95991/160000,0.77456035917157551,2937612573/10016000000,0.54156439147696434,9/16,exact squared-gain presentation row
148,1/8,-63/100,-0.63,6031/10000,0.77659513261415691,137512831/469250000,0.54133919262365582,9/16,exact squared-gain presentation row
149,1/8,-251/400,-0.62749999999999995,96999/160000,0.77861656160140846,1255458057/4288000000,0.54109524281809496,9/16,exact squared-gain presentation row
150,1/8,-5/8,-0.625,39/64,0.78062474979979979,117/400,0.54083269131959832,9/16,exact squared-gain presentation row
151,1/8,-249/400,-0.62250000000000005,97999/160000,0.78261979913620894,8761208599/29984000000,0.54055168537933118,9/16,exact squared-gain presentation row
152,1/8,-31/50,-0.62,1539/2500,0.78460180983732131,34167339/117062500,0.54025237028494844,9/16,exact squared-gain presentation row
153,1/8,-247/400,-0.61750000000000005,98991/160000,0.78657088046786983,970210791/3328000000,0.53993488940396606,9/16,exact squared-gain presentation row
154,1/8,-123/200,-0.61499999999999999,24871/40000,0.78852710796776038,34048399/116937500,0.53959938422590414,9/16,exact squared-gain presentation row
155,1/8,-49/80,-0.61250000000000004,3999/6400,0.79047058768811884,13920519/47872000,0.53924599440324683,9/16,exact squared-gain presentation row
156,1/8,-61/100,-0.60999999999999999,6279/10000,0.79240141342630122,6461091/22250000,0.53887485779125988,9/16,exact squared-gain presentation row
157,1/8,-243/400,-0.60750000000000004,100951/160000,0.79431967745990029,8666542399/29888000000,0.53848611048670381,9/16,exact squared-gain presentation row
158,1/8,-121/200,-0.60499999999999998,25359/40000,0.79622547057978488,135138111/466750000,0.53807988686548192,9/16,exact squared-gain presentation row
159,1/8,-241/400,-0.60250000000000004,101919/160000,0.79811888212220616,2876867613/9952000000,0.53765631961925953,9/16,exact squared-gain presentation row
160,1/8,-3/5,-0.59999999999999998,16/25,0.80000000000000004,13456/46625,0.53721553979108749,9/16,exact squared-gain presentation row
161,1/8,-239/400,-0.59750000000000003,102879/160000,0.80186891073292021,8592556959/29824000000,0.53675767681006537,9/16,exact squared-gain presentation row
162,1/8,-119/200,-0.59499999999999997,25839/40000,0.8037256994771288,103356/359375,0.53628285852507551,9/16,exact squared-gain presentation row
163,1/8,-237/400,-0.59250000000000003,103831/160000,0.80557045005387329,174539911/608000000,0.53579121123761786,9/16,exact squared-gain presentation row
164,1/8,-59/100,-0.58999999999999997,6519/10000,0.80740324497737814,133307031/465250000,0.5352828597337782,9/16,exact squared-gain presentation row
165,1/8,-47/80,-0.58750000000000002,4191/6400,0.80922416548197562,4538853/15872000,0.53475792731535354,9/16,exact squared-gain presentation row
166,1/8,-117/200,-0.58499999999999996,26311/40000,0.81103329154850357,132633751/464750000,0.53421653583016704,9/16,exact squared-gain presentation row
167,1/8,-233/400,-0.58250000000000002,105711/160000,0.81283070192998985,8466288279/29728000000,0.53365880570159485,9/16,exact squared-gain presentation row
168,1/8,-29/50,-0.57999999999999996,1659/2500,0.81461647417665206,10994193/38687500,0.53308485595733257,9/16,exact squared-gain presentation row
169,1/8,-231/400,-0.57750000000000001,106639/160000,0.81639068466023057,8420322079/29696000000,0.53249480425742468,9/16,exact squared-gain presentation row
170,1/8,-23/40,-0.57499999999999996,1071/1600,0.8181534085976786,7497/26500,0.5318887669215796,9/16,exact squared-gain presentation row
171,1/8,-229/400,-0.57250000000000001,107559/160000,0.8199047200742291,930277791/3296000000,0.53126685895579562,9/16,exact squared-gain presentation row
172,1/8,-57/100,-0.56999999999999995,6751/10000,0.82164469206585888,130436071/463250000,0.53062919407831577,9/16,exact squared-gain presentation row
173,1/8,-227/400,-0.5675,108471/160000,0.82337339646116814,8322871359/29632000000,0.5299758847449354,9/16,exact squared-gain presentation row
174,1/8,-113/200,-0.56499999999999995,27231/40000,0.82509090408269559,43215597/154250000,0.52930704217368152,9/16,exact squared-gain presentation row
175,1/8,-9/16,-0.5625,175/256,0.82679728470768454,21175/75776,0.52862277636888289,9/16,exact squared-gain presentation row
176,1/8,-14/25,-0.56000000000000005,429/625,0.82849260708831918,8051901/28890625,0.52792319614464989,9/16,exact squared-gain presentation row
177,1/8,-223/400,-0.5575,110271/160000,0.83017693897144607,391351779/1408000000,0.52720840914778322,9/16,exact squared-gain presentation row
178,1/8,-111/200,-0.55500000000000005,27679/40000,0.83185034711779737,7999231/28859375,0.52647852188012656,9/16,exact squared-gain presentation row
179,1/8,-221/400,-0.55249999999999999,111159/160000,0.83351289732073131,8163628119/29536000000,0.5257336397203819,9/16,exact squared-gain presentation row
180,1/8,-11/20,-0.55000000000000004,279/400,0.83516465442450327,22599/82000,0.52497386694540304,9/16,exact squared-gain presentation row
181,1/8,-219/400,-0.54749999999999999,112039/160000,0.83680568234208352,8107254079/29504000000,0.52419930675098225,9/16,exact squared-gain presentation row
182,1/8,-109/200,-0.54500000000000004,28119/40000,0.83843604407253391,126226191/460750000,0.52341006127214595,9/16,exact squared-gain presentation row
183,1/8,-217/400,-0.54249999999999998,112911/160000,0.84005580171795735,2683104093/9824000000,0.52260623160297337,9/16,exact squared-gain presentation row
184,1/8,-27/50,-0.54000000000000004,1771/2500,0.84166501650003256,4475317/16437500,0.52178791781595257,9/16,exact squared-gain presentation row
185,1/8,-43/80,-0.53749999999999998,4551/6400,0.84326374877614652,12783759/47104000,0.52095521898088692,9/16,exact squared-gain presentation row
186,1/8,-107/200,-0.53500000000000003,28551/40000,0.84485205805513663,10364013/38312500,0.52010823318336574,9/16,exact squared-gain presentation row
187,1/8,-213/400,-0.53249999999999997,114631/160000,0.84643000301265314,7928911639/29408000000,0.51924705754280986,9/16,exact squared-gain presentation row
188,1/8,-53/100,-0.53000000000000003,7191/10000,0.8479976415061542,123404751/459250000,0.51837178823010777,9/16,exact squared-gain presentation row
189,1/8,-211/400,-0.52749999999999997,115479/160000,0.8495550305895434,291353517/1088000000,0.51748252048484977,9/16,exact squared-gain presentation row
190,1/8,-21/40,-0.52500000000000002,1159/1600,0.85110222652746004,195871/734000,0.51657934863217525,9/16,exact squared-gain presentation row
191,1/8,-209/400,-0.52249999999999996,116319/160000,0.85263928480923279,1114684977/4192000000,0.51566236609924199,9/16,exact squared-gain presentation row
192,1/8,-13/25,-0.52000000000000002,456/625,0.85416626016250496,2529432/9546875,0.51473166543132809,9/16,exact squared-gain presentation row
193,1/8,-207/400,-0.51749999999999996,117151/160000,0.8556832065665424,7737706399/29312000000,0.51378733830757806,9/16,exact squared-gain presentation row
194,1/8,-103/200,-0.51500000000000001,29391/40000,0.85719017726523206,7524096/28609375,0.51282947555640157,9/16,exact squared-gain presentation row
195,1/8,-41/80,-0.51249999999999996,4719/6400,0.85868722477977977,4091373/15616000,0.51185816717053589,9/16,exact squared-gain presentation row
196,1/8,-51/100,-0.51000000000000001,7399/10000,0.86017440092111552,119338471/457250000,0.51087350232177986,9/16,exact squared-gain presentation row
197,1/8,-203/400,-0.50749999999999995,118791/160000,0.86165175680201567,7603693119/29248000000,0.50987556937540868,9/16,exact squared-gain presentation row
198,1/8,-101/200,-0.505,29799/40000,0.86311934284894809,1877337/7250000,0.50886445590427976,9/16,exact squared-gain presentation row
199,1/8,-201/400,-0.50249999999999995,119599/160000,0.86457720881364897,7534856599/29216000000,0.50784024870263567,9/16,exact squared-gain presentation row
200,1/8,-1/2,-0.5,3/4,0.8660254037844386,75/292,0.50680303379961444,9/16,exact squared-gain presentation row
201,1/8,-199/400,-0.4975,120399/160000,0.86746397619728277,2488286133/9728000000,0.50575289647247301,9/16,exact squared-gain presentation row
