panel,route,series,kind,x,y,phi,theta,radius,distance,source,pointer,status,note
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25,0,0.0,,0.25,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25002855552711961,3.3227340608165193e-07,0.008726646259971648,,0.2500285555273404,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25011419383932504,2.6578836133375403e-06,0.017453292519943295,,0.25011419385344724,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25025683014919298,8.9686494718146936e-06,0.026179938779914945,,0.2502568303099012,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25045632321112676,2.1253354981178724e-05,0.03490658503988659,,0.2504563241128909,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25071247542147035,4.1496234494554224e-05,0.04363323129985824,,0.2507124788555585,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25102503295857298,7.1675461075077634e-05,0.05235987755982989,,0.25102504319136043,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25139368596270578,0.00011376163905289435,0.061086523819801536,,0.251393711702632,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25181806875570834,0.00016971630182707059,0.06981317007977318,,0.2518181259470369,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25229776010021343,0.00024149041595368168,0.07853981633974483,,0.25229787567319273,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25283228349827108,0.00033102289255672324,0.08726646259971647,,0.2528325001954961,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25342110752916791,0.00044023910709366926,0.09599310885968812,,0.25342148991705793,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25406364622620825,0.0005710494285016271,0.10471975511965978,,0.25406428798870123,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25475925949219796,0.00072534775874365243,0.11344640137963143,,0.2547602920911816,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25550725355334553,0.00090501008376776826,0.12217304763960307,,0.25550885632718356,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
A,exact 1:2 degeneracy algebra,caustic,exact formula sample,-0.25630688145126801,0.0011118930368831173,0.1308996938995747,,0.2563092932092003,,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072q_report-source.md,z(phi)=exp(-3i phi)/8-3 exp(-i phi)/8,exact degeneracy locus,Sampled only for display; the implicit identity and radius bounds are continuous.
