N,rhoA,rhoDLower,rhoDUpper,gammaLower,gammaUpper
18,0.9618195995206911,0.6014157426587791,0.601422718513859,1.5992405506353138,1.5992591003165537
19,0.9602750874825021,0.9328099010608225,0.9328203830901718,1.029431930187225,1.029443497962924
20,0.9589195626022611,0.6562487198620991,0.6562562209964031,1.4611969104785323,1.4612136124300001
21,0.9577211286809811,0.8685686781000966,0.8685784215782361,1.1026305799086855,1.1026429490594758
22,0.9566545931480823,0.6930886770376096,0.69309654311603,1.3802616715517662,1.3802773365696908
23,0.9556998143146265,0.8292512801462227,0.8292605845226317,1.1524722531757374,1.1524851841604717
24,0.9548405090354644,0.7172956001889187,0.7173037112975935,1.3311523333793571,1.3311673859200894
25,0.954063379364915,0.8045822602567895,0.8045912939572191,1.185773928366224,1.1857872420160214
26,0.9533574638988067,0.7329226710133366,0.7329309424468385,1.300746644310158,1.3007613239479927
27,0.9527136497811235,0.7888232026540121,0.7888320652612255,1.2077521841935113,1.207765753562647
28,0.9521243012010604,0.7428529348816724,0.7428613089925825,1.2816986019803158,1.2817130504474918
29,0.9515829734427472,0.7786059965608795,0.7786147488999106,1.222148661821806,1.222162400040471
30,0.9510841905197742,0.7490597436558679,0.7490681821779256,1.2696897467390547,1.2697040504111248
31,0.9506232705954464,0.7718882324677219,0.7718969125090434,1.2315417450051132,1.2315555939443585
32,0.9501961876903109,0.7528608655414374,0.7528693435134186,1.2620997200603576,1.2621139325749855
33,0.9497994612149394,0.7674044728335546,0.7674131046462864,1.2376638546623697,1.2376777759815654
34,0.9494300670352812,0.7551221615374986,0.7551306628912029,1.2573056739613189,1.257319829022305
35,0.9490853653450084,0.7643593329502888,0.764367931970081,1.2416603649224751,1.2416743335647
36,0.94876304176317,0.7564063673106556,0.7564148818192948,1.2542892327570923,1.2543033516976114
37,0.9484610589186668,0.7622479292504282,0.7622565054745086,1.2442807009278916,1.2442947006118534
38,0.9481776164103983,0.7570763656144284,0.7570848868427762,1.2524059493044752,1.2524200456857162
39,0.9479111175027677,0.7607474945191064,0.7607560544845035,1.246011927102023,1.2460259472848787
40,0.9476601412725784,0.7573647403266125,0.7573732642790568,1.2512458334196093,1.2512599158813509
