record_type,sample_index,r,m,N,family,support_size,coefficient_magnitude_squared,l2_squared,univariate_l6_sixth,field_l6_sixth,field_l6_norm,hhalf_squared,hhalf_norm,annular_heat_proxy,alpha,scaled_l2_norm,scaled_hhalf_norm,scaled_annular_heat_proxy,support_sha256,magnitude_sha256,signed_coefficient_sha256
matched_phase_family,0,0,1,8,D,2,1/2,1,1,5/2,1.1649930507507129,8,2.8284271247461903,0.41188724311051639,2.8284271247461903,2.8284271247461903,8.0000000000000018,1.1649930507507129,3015f55be98fdd372f37ba2513dff76fb1f0fd76c2f21777d07b308eb7c114dd,f28c04ee9c819ad4f60a43986f6805e8f99cf876fa349b87528d1c22df7e130c,6147411a848042bc92b7f5394f233c4f4cac2aad3e68cde28f7316616536501b
matched_phase_family,1,0,1,8,RS,2,1/2,1,1,5/2,1.1649930507507129,8,2.8284271247461903,0.41188724311051639,2.8284271247461903,2.8284271247461903,8.0000000000000018,1.1649930507507129,3015f55be98fdd372f37ba2513dff76fb1f0fd76c2f21777d07b308eb7c114dd,f28c04ee9c819ad4f60a43986f6805e8f99cf876fa349b87528d1c22df7e130c,6147411a848042bc92b7f5394f233c4f4cac2aad3e68cde28f7316616536501b
matched_phase_family,2,1,2,16,D,8,1/8,1,20,125/8,1.5811388300841895,16.515151476951949,4.0638837922548854,0.39528470752104738,2.5198420997897464,2.5198420997897464,10.240345468377068,0.99605504741461182,56f253b7add316cc306f28f6b703a5fe2f6b27c7d213b6c64593672f43557402,9711e9295b037c2a9856cf9fc2184a26f9ff3611c19e55520b5b815795d1693c,8946908082c1db123a070d29a7d03878a6fc38345de9e0fd3b29525cb431c5bf
matched_phase_family,3,1,2,16,RS,8,1/8,1,20,125/8,1.5811388300841895,16.515151476951949,4.0638837922548854,0.39528470752104738,2.5198420997897464,2.5198420997897464,10.240345468377068,0.99605504741461182,56f253b7add316cc306f28f6b703a5fe2f6b27c7d213b6c64593672f43557402,9711e9295b037c2a9856cf9fc2184a26f9ff3611c19e55520b5b815795d1693c,8946908082c1db123a070d29a7d03878a6fc38345de9e0fd3b29525cb431c5bf
matched_phase_family,4,2,4,32,D,32,1/32,1,580,105125/512,2.4288797157064459,33.552215388998206,5.7924274176719903,0.42936932941562039,2.2449240966187465,2.2449240966187465,13.003559887846951,0.96390155395415855,724117ac8bdc683a19c836834fc05369c4380180c633c453fecad4872b346d2c,dfd71cc431310921e3d5fb1d0c2a3b1606d7924e9cd973a1c79ee0f4bf4a43b7,35fc4c9806252d5a7e5f2d7a6fa56db80e5a2c070b8c4e32e685a7cc848c61b2
matched_phase_family,5,2,4,32,RS,32,1/32,1,112,245/32,1.403899494542366,33.552215388998206,5.7924274176719903,0.24817671317381834,2.2449240966187465,2.2449240966187465,13.003559887846951,0.55713788362354388,724117ac8bdc683a19c836834fc05369c4380180c633c453fecad4872b346d2c,dfd71cc431310921e3d5fb1d0c2a3b1606d7924e9cd973a1c79ee0f4bf4a43b7,822bb9269dc7309a92468b4880b946f289e055113757d46833858888ab068f51
matched_phase_family,6,3,8,64,D,128,1/128,1,18152,25741805/8192,3.8271443418878537,67.62954112706521,8.2237182057184572,0.47839304273598171,2,2,16.447436411436914,0.95678608547196342,3334573a1700e1d8fe126e5e0a9af6d3639a08298c4f2f7051057600233cf23d,7efc2e229afa1d6011c93668a95565a35c420e4a08aeda0b2bc74089d146dc6e,650d09f5014f1894b95cee64fcf1bcab61815ada9368ea08cbb5dc2cfab10b92
matched_phase_family,7,3,8,64,RS,128,1/128,1,1088,1445/128,1.4977625923200417,67.62954112706521,8.2237182057184572,0.18722032404000521,2,2,16.447436411436914,0.37444064808001043,3334573a1700e1d8fe126e5e0a9af6d3639a08298c4f2f7051057600233cf23d,7efc2e229afa1d6011c93668a95565a35c420e4a08aeda0b2bc74089d146dc6e,03daf7e0ab7ebc879484c601d6d592dacb16ba6f592018cd36d3d9ed0f1d93fc
matched_phase_family,8,4,16,128,D,512,1/512,1,577744,6519299405/131072,6.0643161390444442,135.78574830823038,11.652714203490548,0.5360148831471685,1.7817974362806788,1.7817974362806788,20.762776293490912,0.95506994459991246,60ca014d0560155719e810a932652fa7ff23ec79593bb1e1553a428040901e6a,6c4b526e155141d520fbe3346d5553f0030a8dff00bc33ea51433d6aa7539195,0ba08813a254498884814c70f2817fc4d2b308b6e41fa530f426509d529626ee
matched_phase_family,9,4,16,128,RS,512,1/512,1,7936,4805/512,1.4523476015041081,135.78574830823038,11.652714203490548,0.12837060470794656,1.7817974362806788,1.7817974362806788,20.762776293490912,0.22873041436241962,60ca014d0560155719e810a932652fa7ff23ec79593bb1e1553a428040901e6a,6c4b526e155141d520fbe3346d5553f0030a8dff00bc33ea51433d6aa7539195,e2e838b41ab5db196b308858987343b50dcd9d225727af2340dfd253c2afd5cd
