record_type,record_id,N,epsilon,finite_inviscid_action_proxy,actual_physical_linear_gain,finite_inviscid_action_prefactor,a_endpoint_l2,b_endpoint_l2,b_over_epsilon,c_target_endpoint_l2,c_target_over_epsilon_squared,c_mean_path_signed_parallel,c_mean_path_signed_parallel_over_epsilon_squared,c_double_path_signed_parallel,c_double_path_signed_parallel_over_epsilon_squared,gate_family,metric,value,tolerance,ratio_to_tolerance,is_family_max,upstream_path,upstream_sha256
finite_case,N40-e0.001,40,0.001,0.0003778603553777033,1.4541761769003219,0.9965850277770183,1.0,0.0005349894835594229,0.5349894835594229,2.2636304211154378e-07,0.2263630421115438,-1.0036106215940868e-07,-0.10036106215940868,-6.471241898231116e-08,-0.06471241898231117,,,,,,,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
finite_case,N40-e0.0005,40,0.0005,0.0003778603553777033,2.1215896265221246,0.9964512325945061,0.9999999999999998,0.0003776191825825391,0.7552383651650781,1.2494887612780726e-07,0.49979550451122906,-6.13519459853739e-08,-0.24540778394149565,-2.824744750225305e-08,-0.11298979000901221,,,,,,,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
finite_case,N40-e0.00025,40,0.00025,0.0003778603553777033,4.516352022597015,0.9962701450803096,1.0,0.00021925794004186896,0.8770317601674759,4.724984099685125e-08,0.75599745594962,-2.6916814645949674e-08,-0.4306690343351948,-6.441820590784885e-09,-0.10306912945255817,,,,,,,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
finite_case,N40-e0.000125,40,0.000125,0.0003778603553777033,20.470798557007416,0.9961240977548559,1.0,0.0001133918890012801,0.9071351120102408,1.3165219427808263e-08,0.8425740433797289,-8.172046871072268e-09,-0.5230109997486252,-1.549868330200548e-09,-0.09919157313283508,,,,,,,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
finite_case,N40-e6.25e-05,40,6.25e-05,0.0003778603553777033,420.6631904678167,0.9960745296895328,1.0,5.701258194233677e-05,0.9122013110773883,3.3417347620624755e-09,0.8554840990879937,-2.07738141144361e-09,-0.5318096413295642,-4.2416070918088985e-10,-0.10858514155030781,,,,,,,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
finite_case,N48-e0.001,48,0.001,0.00037786035537770317,1.454176176900321,0.9965850277770179,1.0,0.0005349894835594227,0.5349894835594227,2.2636304211154357e-07,0.22636304211154357,-1.003610621594086e-07,-0.10036106215940861,-6.471241898231117e-08,-0.06471241898231118,,,,,,,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
finite_case,N48-e0.0005,48,0.0005,0.00037786035537770317,2.121589626522123,0.9964512325945054,0.9999999999999997,0.0003776191825825391,0.7552383651650781,1.2494887612780757e-07,0.49979550451123034,-6.135194598537383e-08,-0.24540778394149532,-2.824744750225299e-08,-0.11298979000901196,,,,,,,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
finite_case,N48-e0.00025,48,0.00025,0.00037786035537770317,4.516352022597018,0.9962701450803106,0.9999999999999999,0.000219257940041869,0.877031760167476,4.7249840996851197e-08,0.7559974559496192,-2.6916814645949694e-08,-0.4306690343351951,-6.441820590784891e-09,-0.10306912945255826,,,,,,,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
finite_case,N48-e0.000125,48,0.000125,0.00037786035537770317,20.470798557007377,0.9961240977548548,1.0,0.0001133918890012801,0.9071351120102408,1.3165219427808267e-08,0.8425740433797291,-8.172046871072268e-09,-0.5230109997486252,-1.5498683302005557e-09,-0.09919157313283557,,,,,,,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
finite_case,N48-e6.25e-05,48,6.25e-05,0.00037786035537770317,420.66319046781666,0.9960745296895345,0.9999999999999999,5.701258194233675e-05,0.912201311077388,3.3417347620645674e-09,0.8554840990885293,-2.0773814114436097e-09,-0.5318096413295641,-4.2416070918089083e-10,-0.10858514155030806,,,,,,,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
finite_case,N64-e0.001,64,0.001,0.0003778603553777033,1.4541761769003196,0.9965850277770167,0.9999999999999998,0.0005349894835594229,0.5349894835594229,2.2636304211154285e-07,0.22636304211154287,-1.0036106215940839e-07,-0.10036106215940839,-6.471241898231135e-08,-0.06471241898231135,,,,,,,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
finite_case,N64-e0.0005,64,0.0005,0.0003778603553777033,2.1215896265221232,0.9964512325945054,1.0,0.0003776191825825393,0.7552383651650786,1.249488761278078e-07,0.4997955045112313,-6.135194598537381e-08,-0.24540778394149526,-2.82474475022531e-08,-0.11298979000901241,,,,,,,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
finite_case,N64-e0.00025,64,0.00025,0.0003778603553777033,4.516352022597014,0.9962701450803094,1.0,0.00021925794004186896,0.8770317601674759,4.7249840996851395e-08,0.7559974559496223,-2.6916814645949637e-08,-0.4306690343351942,-6.441820590784916e-09,-0.10306912945255865,,,,,,,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
finite_case,N64-e0.000125,64,0.000125,0.0003778603553777033,20.470798557007353,0.9961240977548528,0.9999999999999999,0.00011339188900128012,0.9071351120102409,1.3165219427808267e-08,0.8425740433797291,-8.172046871072267e-09,-0.5230109997486251,-1.5498683302005497e-09,-0.09919157313283518,,,,,,,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
finite_case,N64-e6.25e-05,64,6.25e-05,0.0003778603553777033,420.66319046781666,0.9960745296895327,0.9999999999999999,5.701258194233675e-05,0.912201311077388,3.3417347620645666e-09,0.8554840990885291,-2.0773814114436092e-09,-0.531809641329564,-4.2416070918089073e-10,-0.10858514155030803,,,,,,,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
gate_component,cutoff-cutoff action proxy,,,,,,,,,,,,,,,cutoff,cutoff action proxy,1.0842021724855044e-19,2e-12,5.421010862427522e-08,true,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
gate_component,cutoff-cutoff prefactor,,,,,,,,,,,,,,,cutoff,cutoff prefactor,1.9984014443252818e-15,2e-06,9.992007221626409e-10,false,research/certificates/r073m/primary_results.json,78b3abb6ea59dbdd8f76b2752be581335c599b483e7f2954a24f5e1992d97381
