radiusPower,radius,relativeIndex,annulusIndex,mean,scrambleSe,ci95Lower,ci95Upper
0,1,-8,-8,0.0,0.0,0.0,0.0
0,1,-7,-7,0.0,0.0,0.0,0.0
0,1,-6,-6,-9.914964147275336e-11,9.914964147275336e-11,-2.934829387593499e-10,9.518365581384321e-11
0,1,-5,-5,0.0019322085549896405,0.0007524453158260202,0.00045741573597064106,0.00340700137400864
0,1,-4,-4,0.035731971494286405,0.003255532461380103,0.029351127869981404,0.042112815118591405
0,1,-3,-3,0.31403061684355166,0.004762292613246305,0.3046965233215889,0.3233647103655144
0,1,-2,-2,1.3021709669491557,0.0017763541684645587,1.2986893127789652,1.3056526211193462
0,1,-1,-1,1.498350335847674,0.00028447352705042743,1.4977927677346552,1.4989079039606927
0,1,0,0,0.2697545017531417,4.310496989420269e-05,0.26967001601214907,0.2698389874941343
0,1,1,1,-0.006994992950298073,7.419978351405738e-07,-0.006996447266054948,-0.006993538634541198
0,1,2,2,0.0,0.0,0.0,0.0
1,2,-8,-7,0.0,0.0,0.0,0.0
1,2,-7,-6,0.0,0.0,0.0,0.0
1,2,-6,-5,0.0,0.0,0.0,0.0
1,2,-5,-4,0.0,0.0,0.0,0.0
1,2,-4,-3,0.0,0.0,0.0,0.0
1,2,-3,-2,0.0,0.0,0.0,0.0
1,2,-2,-1,0.08987528599983778,0.00010678328729820435,0.0896659907567333,0.09008458124294226
1,2,-1,0,3.1312502911027384,7.645793838203389e-05,3.1311004335435095,3.1314001486619674
1,2,0,1,0.1992943185902445,1.428062392916299e-05,0.19926632856734333,0.19932230861314565
1,2,1,2,-0.00028486626096572493,8.870312690947637e-08,-0.0002850401190944675,-0.0002846924028369824
1,2,2,3,0.0,0.0,0.0,0.0
2,4,-8,-6,0.0,0.0,0.0,0.0
2,4,-7,-5,0.0,0.0,0.0,0.0
2,4,-6,-4,0.0,0.0,0.0,0.0
2,4,-5,-3,0.0,0.0,0.0,0.0
2,4,-4,-2,0.0,0.0,0.0,0.0
2,4,-3,-1,0.0,0.0,0.0,0.0
2,4,-2,0,0.0009960618494234373,2.7570637305982176e-06,0.0009906580045114647,0.00100146569433541
2,4,-1,1,3.2986585820466847,1.6763204525290135e-05,3.298625726165815,3.2986914379275545
2,4,0,2,0.12048710372396004,4.316032895579429e-06,0.12047864429948471,0.12049556314843538
2,4,1,3,-7.276379775822359e-07,1.1614430634897144e-09,-7.299144059866757e-07,-7.253615491777961e-07
2,4,2,4,0.0,0.0,0.0,0.0
3,8,-8,-5,0.0,0.0,0.0,0.0
3,8,-7,-4,0.0,0.0,0.0,0.0
3,8,-6,-3,0.0,0.0,0.0,0.0
3,8,-5,-2,0.0,0.0,0.0,0.0
3,8,-4,-1,0.0,0.0,0.0,0.0
3,8,-3,0,0.0,0.0,0.0,0.0
3,8,-2,1,1.3818871700108434e-06,1.2628902381013496e-08,1.357134521344057e-06,1.4066398186776298e-06
3,8,-1,2,3.3264468090775314,6.850722683888703e-06,3.326433381661071,3.326460236493992
3,8,0,3,0.09368480151366967,1.880979270014024e-06,0.09368111479430044,0.09368848823303891
3,8,1,4,-2.6371540538488312e-12,8.397748195954876e-14,-2.8017499184895468e-12,-2.4725581892081157e-12
3,8,2,5,0.0,0.0,0.0,0.0
4,16,-8,-4,0.0,0.0,0.0,0.0
4,16,-7,-3,0.0,0.0,0.0,0.0
4,16,-6,-2,0.0,0.0,0.0,0.0
4,16,-5,-1,0.0,0.0,0.0,0.0
4,16,-4,0,0.0,0.0,0.0,0.0
4,16,-3,1,0.0,0.0,0.0,0.0
4,16,-2,2,3.036400405578724e-12,3.562303263411783e-13,2.3381889659500144e-12,3.734611845207433e-12
4,16,-1,3,3.3337968607254576,3.2588687671026186e-06,3.333790473342674,3.333803248108241
4,16,0,4,0.08633486688990592,8.15380524253584e-07,0.08633326874407839,0.08633646503573346
4,16,1,5,0.0,0.0,0.0,0.0
4,16,2,6,0.0,0.0,0.0,0.0
5,32,-8,-3,0.0,0.0,0.0,0.0
5,32,-7,-2,0.0,0.0,0.0,0.0
5,32,-6,-1,0.0,0.0,0.0,0.0
5,32,-5,0,0.0,0.0,0.0,0.0
5,32,-4,1,0.0,0.0,0.0,0.0
5,32,-3,2,0.0,0.0,0.0,0.0
5,32,-2,3,0.0,0.0,0.0,0.0
5,32,-1,4,3.335686222665534,1.6144325798694813e-06,3.3356830583776773,3.3356893869533906
5,32,0,5,0.08444568958130302,3.8872664283959304e-07,0.08444492767708306,0.08444645148552299
5,32,1,6,0.0,0.0,0.0,0.0
5,32,2,7,0.0,0.0,0.0,0.0
6,64,-8,-2,0.0,0.0,0.0,0.0
6,64,-7,-1,0.0,0.0,0.0,0.0
6,64,-6,0,0.0,0.0,0.0,0.0
6,64,-5,1,0.0,0.0,0.0,0.0
6,64,-4,2,0.0,0.0,0.0,0.0
6,64,-3,3,0.0,0.0,0.0,0.0
6,64,-2,4,0.0,0.0,0.0,0.0
6,64,-1,5,3.336162372184349,8.217264097721071e-07,3.3361607616005857,3.336163982768112
6,64,0,6,0.08396983995181467,1.9344526489806864e-07,0.08396946079909547,0.08397021910453388
6,64,1,7,0.0,0.0,0.0,0.0
6,64,2,8,0.0,0.0,0.0,0.0
