panel,route,series,x,y,source,pointer,note
A,analytic,K/H = 0.05,0.001,0.0196078431372549,research/r072m_report-source.md,"equation (5.1), sample 0",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0010280162981264735,0.02014611526578621,research/r072m_report-source.md,"equation (5.1), sample 1",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0010568175092136585,0.020698851999988957,research/r072m_report-source.md,"equation (5.1), sample 2",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0010864256236170656,0.021266424698047674,research/r072m_report-source.md,"equation (5.1), sample 3",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.001116863247780561,0.02184921328929654,research/r072m_report-source.md,"equation (5.1), sample 4",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0011481536214968829,0.02244760641788503,research/r072m_report-source.md,"equation (5.1), sample 5",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0011803206356517297,0.023062001585615884,research/r072m_report-source.md,"equation (5.1), sample 6",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0012133888504649774,0.02369280529370711,research/r072m_report-source.md,"equation (5.1), sample 7",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0012473835142429433,0.024340433183213418,research/r072m_report-source.md,"equation (5.1), sample 8",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0012823305826560219,0.025005310173826487,research/r072m_report-source.md,"equation (5.1), sample 9",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0013182567385564075,0.02568787060075592,research/r072m_report-source.md,"equation (5.1), sample 10",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0013551894123510365,0.026388558349375115,research/r072m_report-source.md,"equation (5.1), sample 11",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0013931568029453036,0.02710782698729771,research/r072m_report-source.md,"equation (5.1), sample 12",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.001432187899273544,0.02784613989353101,research/r072m_report-source.md,"equation (5.1), sample 13",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0014723125024327193,0.02860397038433301,research/r072m_report-source.md,"equation (5.1), sample 14",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0015135612484362087,0.029381801835378946,research/r072m_report-source.md,"equation (5.1), sample 15",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.001555965631605075,0.030180127799822057,research/r072m_report-source.md,"equation (5.1), sample 16",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0015995580286146695,0.0309994521218114,research/r072m_report-source.md,"equation (5.1), sample 17",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0016443717232149323,0.031840289045006666,research/r072m_report-source.md,"equation (5.1), sample 18",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.001690440931643265,0.03270316331560697,research/r072m_report-source.md,"equation (5.1), sample 19",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0017378008287493763,0.03358861027938637,research/r072m_report-source.md,"equation (5.1), sample 20",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0017864875748520499,0.03449717597220444,research/r072m_report-source.md,"equation (5.1), sample 21",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0018365383433483473,0.035429417203435065,research/r072m_report-source.md,"equation (5.1), sample 22",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0018879913490962926,0.03638590163173034,research/r072m_report-source.md,"equation (5.1), sample 23",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0019408858775927793,0.03736720783251166,research/r072m_report-source.md,"equation (5.1), sample 24",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.001995262314968879,0.038373925356550494,research/r072m_report-source.md,"equation (5.1), sample 25",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0020511621788255646,0.03940665477897779,research/r072m_report-source.md,"equation (5.1), sample 26",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.002108628149933289,0.04046600773802924,research/r072m_report-source.md,"equation (5.1), sample 27",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.002167704104819694,0.04155260696280907,research/r072m_report-source.md,"equation (5.1), sample 28",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.002228435149270303,0.04266708628932447,research/r072m_report-source.md,"equation (5.1), sample 29",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0022908676527677724,0.04381009066401513,research/r072m_report-source.md,"equation (5.1), sample 30",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.002355049283896009,0.04498227613397363,research/r072m_report-source.md,"equation (5.1), sample 31",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0024210290467361778,0.046184309823023496,research/r072m_report-source.md,"equation (5.1), sample 32",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.00248885731828239,0.04741686989279335,research/r072m_report-source.md,"equation (5.1), sample 33",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0025585858869056452,0.04868064548789709,research/r072m_report-source.md,"equation (5.1), sample 34",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0026302679918953813,0.04997633666430162,research/r072m_report-source.md,"equation (5.1), sample 35",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0027039583641088436,0.05130465429993635,research/r072m_report-source.md,"equation (5.1), sample 36",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0027797132677592883,0.052666319986571196,research/r072m_report-source.md,"equation (5.1), sample 37",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0028575905433749467,0.05406206590196364,research/r072m_report-source.md,"equation (5.1), sample 38",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0029376496519615304,0.055492634661249644,research/r072m_report-source.md,"equation (5.1), sample 39",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.003019951720402016,0.05695877914652914,research/r072m_report-source.md,"equation (5.1), sample 40",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0031045595881283557,0.05846126231357329,research/r072m_report-source.md,"equation (5.1), sample 41",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0031915378551007614,0.06000085697455937,research/r072m_report-source.md,"equation (5.1), sample 42",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0032809529311311906,0.0615783455557189,research/r072m_report-source.md,"equation (5.1), sample 43",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.003372873086588689,0.06319451982876692,research/r072m_report-source.md,"equation (5.1), sample 44",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0034673685045253167,0.06485018061496423,research/r072m_report-source.md,"equation (5.1), sample 45",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0035645113342624426,0.06654613746065129,research/r072m_report-source.md,"equation (5.1), sample 46",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0036643757464783332,0.06828320828308161,research/r072m_report-source.md,"equation (5.1), sample 47",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.003767037989839089,0.07006221898537511,research/r072m_report-source.md,"equation (5.1), sample 48",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.003872576449216173,0.07188400303940758,research/r072m_report-source.md,"equation (5.1), sample 49",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.003981071705534973,0.07374940103545169,research/r072m_report-source.md,"equation (5.1), sample 50",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.00409260659730011,0.07565926019738863,research/r072m_report-source.md,"equation (5.1), sample 51",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.004207266283844442,0.07761443386231684,research/r072m_report-source.md,"equation (5.1), sample 52",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.004325138310350089,0.07961578092339727,research/r072m_report-source.md,"equation (5.1), sample 53",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.004446312674691089,0.08166416523479136,research/r072m_report-source.md,"equation (5.1), sample 54",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.004570881896148752,0.08376045497757173,research/r072m_report-source.md,"equation (5.1), sample 55",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.004698941086052156,0.08590552198551339,research/r072m_report-source.md,"equation (5.1), sample 56",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.004830588020397728,0.08810024102970923,research/r072m_report-source.md,"equation (5.1), sample 57",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.004965923214503363,0.09034548906099422,research/r072m_report-source.md,"equation (5.1), sample 58",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.005105049999754065,0.09264214440921201,research/r072m_report-source.md,"equation (5.1), sample 59",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.005248074602497723,0.09499108593841316,research/r072m_report-source.md,"equation (5.1), sample 60",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.005395106225151279,0.09739319215713889,research/r072m_report-source.md,"equation (5.1), sample 61",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.005546257129579105,0.09984934028301343,research/r072m_report-source.md,"equation (5.1), sample 62",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.005701642722807478,0.10236040526095462,research/r072m_report-source.md,"equation (5.1), sample 63",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.005861381645140285,0.1049272587343926,research/r072m_report-source.md,"equation (5.1), sample 64",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.0060255958607435805,0.10755076796899608,research/r072m_report-source.md,"equation (5.1), sample 65",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.006194410750767812,0.11023179472850285,research/r072m_report-source.md,"equation (5.1), sample 66",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.006367955209079162,0.11297119410238031,research/r072m_report-source.md,"equation (5.1), sample 67",dimensionless T/V against x/H
A,analytic,K/H = 0.05,0.006546361740672747,0.11576981328515908,research/r072m_report-source.md,"equation (5.1), sample 68",dimensionless T/V against x/H
