A,degreePower,m,mu,saddleOverMu,logIntegralOverMuSquared,unitTiltOverMu,saddleLimit,amplitudeLimit,tiltLimit,saddleError,amplitudeError,tiltError,saddleDerivativeResidual,coarseFineAmplitudeDelta,coarseFineTiltDelta,phaseDropAmplitudeDelta,phaseDropTiltDelta
256,0.75,64,2.519842099790,3.158519926303,1.740392669402,0.395093274477,3.174802103936,1.889881574842,0.396850262992,-1.628217763371e-02,-1.494889054400e-01,-1.756988515174e-03,1.110223024625e-16,1.269873095566e-12,1.881494959832e-12,0.000000000000e+00,0.000000000000e+00
256,1.00,256,6.349604207873,3.134696782784,1.851375516495,0.389813763821,3.174802103936,1.889881574842,0.396850262992,-4.010532115209e-02,-3.850605834760e-02,-7.036499170672e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
256,1.25,1024,16.000000000000,3.079054383455,1.847295422930,0.383722565834,3.174802103936,1.889881574842,0.396850262992,-9.574772048155e-02,-4.258615191224e-02,-1.312769715803e-02,8.881784197001e-16,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
256,1.50,4096,40.317473596636,2.960602095185,1.799139909576,0.369533679888,3.174802103936,1.889881574842,0.396850262992,-2.142000087510e-01,-9.074166526598e-02,-2.731658310408e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1024,0.75,182,3.186258006450,3.169600631299,1.798923448512,0.394938339838,3.174802103936,1.889881574842,0.396850262992,-5.201472637093e-03,-9.095812632998e-02,-1.911923154353e-03,2.220446049250e-16,8.881784197001e-16,2.275957200482e-15,2.220446049250e-16,1.165734175856e-15
1024,1.00,1024,10.079368399159,3.158519926303,1.874541447874,0.393255083339,3.174802103936,1.889881574842,0.396850262992,-1.628217763364e-02,-1.534012696835e-02,-3.595179653468e-03,4.440892098501e-16,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1024,1.25,5792,31.997721191890,3.124756803090,1.868856657797,0.389977004219,3.174802103936,1.889881574842,0.396850262992,-5.004530084604e-02,-2.102491704576e-02,-6.873258773306e-03,1.776356839400e-15,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1024,1.50,32768,101.593667325965,3.030018533032,1.829975324736,0.378535673006,3.174802103936,1.889881574842,0.396850262992,-1.447835709041e-01,-5.990625010606e-02,-1.831458998637e-02,7.105427357601e-15,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4096,0.75,512,4.000000000000,3.173164119769,1.832999751919,0.394768045126,3.174802103936,1.889881574842,0.396850262992,-1.637984167741e-03,-5.688182292313e-02,-2.082217866533e-03,2.220446049250e-16,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4096,1.00,4096,16.000000000000,3.168280381115,1.883784267396,0.394937152366,3.174802103936,1.889881574842,0.396850262992,-6.521722820949e-03,-6.097307446218e-03,-1.913110626287e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4096,1.25,32768,64.000000000000,3.149184590813,1.879421719890,0.393330636604,3.174802103936,1.889881574842,0.396850262992,-2.561751312352e-02,-1.045985495202e-02,-3.519626387930e-03,3.552713678801e-15,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4096,1.50,262144,256.000000000000,3.079054383455,1.850838263165,0.384796644237,3.174802103936,1.889881574842,0.396850262992,-9.574772048155e-02,-3.904331167745e-02,-1.205361875495e-02,1.421085471520e-14,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
16384,0.75,1448,5.039325309791,3.174285660736,1.854307996528,0.394746624531,3.174802103936,1.889881574842,0.396850262992,-5.164432002402e-04,-3.557357831411e-02,-2.103638460551e-03,4.440892098501e-16,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
16384,1.00,16384,25.398416831491,3.172204325191,1.887460330825,0.395787195111,3.174802103936,1.889881574842,0.396850262992,-2.597778745160e-03,-2.421244017347e-03,-1.063067881496e-03,0.000000000000e+00,2.220446049250e-16,8.992806499464e-15,0.000000000000e+00,0.000000000000e+00
16384,1.25,185364,128.000092049374,3.161838107666,1.884663096435,0.395068987538,3.174802103936,1.889881574842,0.396850262992,-1.296399627044e-02,-5.218478407593e-03,-1.781275454039e-03,7.105427357601e-15,8.881784197001e-16,1.136868377216e-13,0.000000000000e+00,0.000000000000e+00
16384,1.50,2097152,645.079577546175,3.112487287742,1.864712731742,0.389027528140,3.174802103936,1.889881574842,0.396850262992,-6.231481619468e-02,-2.516884310019e-02,-7.822734852473e-03,2.842170943040e-14,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
