record_type,record_id,t,lambda,slow_strain_component,fast_strain_component,normalized_half_strain_envelope,cumulative_j,action_lower,action_upper,j_star_rational_lower,j_star,log10_action_factor_lower,log10_action_factor_upper,log10_strain_factor_upper,marked_basepoint_l2,evidence_boundary,upstream_path,upstream_sha256
strain_sample,strain_0000,0.0,,1.000000000000000000000000000000000000000000000000000000,1.000000000000000000000000000000000000000000000000000000,2.000000000000000000000000000000000000000000000000000000,0.0,,,,,,,,,finite/illustrative; continuum inputs remain external,research/certificates/r073n/source-data.csv,cdde9894f05a0c78ba70d272df67c2423508535bdf469c7c273a34b960418a1f
strain_sample,strain_0001,0.006250000000000000000000000000000000000000000000000000000,,0.9753099120283326686269864238128062518302307617334768740,0.9048374180359595731642490594464366211947053609804009521,1.880147330064292241791235483259242873024936122713877826,0.01212018336566935952048782783139614821777322450535572199,,,,,,,,,finite/illustrative; continuum inputs remain external,research/certificates/r073n/source-data.csv,cdde9894f05a0c78ba70d272df67c2423508535bdf469c7c273a34b960418a1f
strain_sample,strain_0002,0.01250000000000000000000000000000000000000000000000000000,,0.9512294245007140090914253197796521606570874493403731345,0.8187307530779818586699355086190394243585912562690156725,1.769960177578695867761360828398691585015678705609388807,0.02352197180744763156027270076639699581331618414809323684,,,,,,,,,finite/illustrative; continuum inputs remain external,research/certificates/r073n/source-data.csv,cdde9894f05a0c78ba70d272df67c2423508535bdf469c7c273a34b960418a1f
strain_sample,strain_0003,0.01875000000000000000000000000000000000000000000000000000,,0.9277434863285528922167429594646172040984596116754249088,0.7408182206817178660668737793178168721822512319990063483,1.668561707010270758283616738782434076280710843674431257,0.03426298962525441031663464892648214446399439508120587602,,,,,,,,,finite/illustrative; continuum inputs remain external,research/certificates/r073n/source-data.csv,cdde9894f05a0c78ba70d272df67c2423508535bdf469c7c273a34b960418a1f
strain_sample,strain_0004,0.02500000000000000000000000000000000000000000000000000000,,0.9048374180359595731642490594464366211947053609804009521,0.6703200460356393007444329251478260719369809252108121999,1.575157464071598873908681984594262693131686286191213152,0.04439564261378265041241067731665171520526235192922399949,,,,,,,,,finite/illustrative; continuum inputs remain external,research/certificates/r073n/source-data.csv,cdde9894f05a0c78ba70d272df67c2423508535bdf469c7c273a34b960418a1f
strain_sample,strain_0005,0.03125000000000000000000000000000000000000000000000000000,,0.8824969025845954028648921432290507362220048249906507418,0.6065306597126334236037995349911804534419181354871869557,1.489027562297228826468691678220231189663922960477837697,0.05396760812181156030853949325578853760437891028438812983,,,,,,,,,finite/illustrative; continuum inputs remain external,research/certificates/r073n/source-data.csv,cdde9894f05a0c78ba70d272df67c2423508535bdf469c7c273a34b960418a1f
strain_sample,strain_0006,0.03750000000000000000000000000000000000000000000000000000,,0.8607079764250578072290337645433080335242118333684170237,0.5488116360940264326284589172325678753323119566906280670,1.409519612519084239857492681775875908856523790059045091,0.06302227863785889615346287653713749941067754436473148989,,,,,,,,,finite/illustrative; continuum inputs remain external,research/certificates/r073n/source-data.csv,cdde9894f05a0c78ba70d272df67c2423508535bdf469c7c273a34b960418a1f
strain_sample,strain_0007,0.04375000000000000000000000000000000000000000000000000000,,0.8394570207692073584441170905606948383381770906342835986,0.4965853037914095147048000933975289617076671657118162621,1.336042324560616873148917183958223800045844256346099861,0.07159916332073506571992072152248073030872652948444058397,,,,,,,,,finite/illustrative; continuum inputs remain external,research/certificates/r073n/source-data.csv,cdde9894f05a0c78ba70d272df67c2423508535bdf469c7c273a34b960418a1f
strain_sample,strain_0008,0.05000000000000000000000000000000000000000000000000000000,,0.8187307530779818586699355086190394243585912562690156725,0.4493289641172215914301023850155627959342149412721844909,1.268059717195203450100037893634602220292806197541200163,0.07973425147317818586813472378176746916446375210323455120,,,,,,,,,finite/illustrative; continuum inputs remain external,research/certificates/r073n/source-data.csv,cdde9894f05a0c78ba70d272df67c2423508535bdf469c7c273a34b960418a1f
strain_sample,strain_0009,0.05625000000000000000000000000000000000000000000000000000,,0.7985162187593770428386527430065583471366336812487815727,0.4065696597405991118834542396456259878337033761703781677,1.205085878499976154722106982652184334970337057419159740,0.08746034157636829479762092427050878897623511867715597133,,,,,,,,,finite/illustrative; continuum inputs remain external,research/certificates/r073n/source-data.csv,cdde9894f05a0c78ba70d272df67c2423508535bdf469c7c273a34b960418a1f
strain_sample,strain_0010,0.06250000000000000000000000000000000000000000000000000000,,0.7788007830714048682451702669783206472967722904261414742,0.3678794411714423215955237701614608674458111310317678345,1.146680224242847189840694037139781514742583421457909309,0.09480733915893363783898719762032853396044373170397914178,,,,,,,,,finite/illustrative; continuum inputs remain external,research/certificates/r073n/source-data.csv,cdde9894f05a0c78ba70d272df67c2423508535bdf469c7c273a34b960418a1f
