panel,sample_index,theta,cc_weight,ec_weight,ce_weight,ee_weight,j,N,epsilon_N,KD_lower_bound_exponent_factor,old_cubic_N_factor,gradient_energy_N_factor,delta,old_cubic_delta_factor,U_ext_infinity_delta_factor,normalization,analytic_formula,claim_qualifier
A,1,0.0001,0.10000000000000001,0.10000000000000001,0.0001,0.0001,,,,,,,,,,A_c=B_c=U_ext=D_ext=1; unknown theorem constant C suppressed,w_cc=w_ec=theta^(1/4); w_ce=w_ee=theta,normalized analytic upper-bound weights; C is not plotted; finite rows do not prove quantifiers; NOT CLAY
A,2,0.00010797751623277097,0.10193734859388727,0.10193734859388727,0.00010797751623277097,0.00010797751623277097,,,,,,,,,,A_c=B_c=U_ext=D_ext=1; unknown theorem constant C suppressed,w_cc=w_ec=theta^(1/4); w_ce=w_ee=theta,normalized analytic upper-bound weights; C is not plotted; finite rows do not prove quantifiers; NOT CLAY
A,3,0.00011659144011798318,0.10391223038351692,0.10391223038351692,0.00011659144011798318,0.00011659144011798318,,,,,,,,,,A_c=B_c=U_ext=D_ext=1; unknown theorem constant C suppressed,w_cc=w_ec=theta^(1/4); w_ce=w_ee=theta,normalized analytic upper-bound weights; C is not plotted; finite rows do not prove quantifiers; NOT CLAY
A,4,0.00012589254117941674,0.10592537251772889,0.10592537251772889,0.00012589254117941674,0.00012589254117941674,,,,,,,,,,A_c=B_c=U_ext=D_ext=1; unknown theorem constant C suppressed,w_cc=w_ec=theta^(1/4); w_ce=w_ee=theta,normalized analytic upper-bound weights; C is not plotted; finite rows do not prove quantifiers; NOT CLAY
A,5,0.00013593563908785255,0.10797751623277096,0.10797751623277096,0.00013593563908785255,0.00013593563908785255,,,,,,,,,,A_c=B_c=U_ext=D_ext=1; unknown theorem constant C suppressed,w_cc=w_ec=theta^(1/4); w_ce=w_ee=theta,normalized analytic upper-bound weights; C is not plotted; finite rows do not prove quantifiers; NOT CLAY
A,6,0.00014677992676220695,0.11006941712522096,0.11006941712522096,0.00014677992676220695,0.00014677992676220695,,,,,,,,,,A_c=B_c=U_ext=D_ext=1; unknown theorem constant C suppressed,w_cc=w_ec=theta^(1/4); w_ce=w_ee=theta,normalized analytic upper-bound weights; C is not plotted; finite rows do not prove quantifiers; NOT CLAY
A,7,0.00015848931924611136,0.11220184543019635,0.11220184543019635,0.00015848931924611136,0.00015848931924611136,,,,,,,,,,A_c=B_c=U_ext=D_ext=1; unknown theorem constant C suppressed,w_cc=w_ec=theta^(1/4); w_ce=w_ee=theta,normalized analytic upper-bound weights; C is not plotted; finite rows do not prove quantifiers; NOT CLAY
A,8,0.0001711328304161781,0.11437558630495383,0.11437558630495383,0.0001711328304161781,0.0001711328304161781,,,,,,,,,,A_c=B_c=U_ext=D_ext=1; unknown theorem constant C suppressed,w_cc=w_ec=theta^(1/4); w_ce=w_ee=theta,normalized analytic upper-bound weights; C is not plotted; finite rows do not prove quantifiers; NOT CLAY
A,9,0.00018478497974222912,0.11659144011798318,0.11659144011798318,0.00018478497974222912,0.00018478497974222912,,,,,,,,,,A_c=B_c=U_ext=D_ext=1; unknown theorem constant C suppressed,w_cc=w_ec=theta^(1/4); w_ce=w_ee=theta,normalized analytic upper-bound weights; C is not plotted; finite rows do not prove quantifiers; NOT CLAY
A,10,0.00019952623149688796,0.11885022274370184,0.11885022274370184,0.00019952623149688796,0.00019952623149688796,,,,,,,,,,A_c=B_c=U_ext=D_ext=1; unknown theorem constant C suppressed,w_cc=w_ec=theta^(1/4); w_ce=w_ee=theta,normalized analytic upper-bound weights; C is not plotted; finite rows do not prove quantifiers; NOT CLAY
