index,success,status,radiusDecimal,gainPpmDecimal,characterDecimal,scaledAlphaDecimal,scaledBetaDecimal,symmetryDefectDecimal,activeMarginDecimal,zeroMarginDecimal,basin,classification
1,true,0,0.38262891253047304,11.605849079004186165,0.7928055293452713,0.9803434367021644,0.9803434408527475,4.150583099438165e-09,-8.881784197001252e-16,-1.5543122344752192e-15,symmetric product interior,finite deterministic floating-point reconnaissance
2,true,0,0.3826244919218012,0.052461888471333051558,0.7972390444383768,0.9919947345992827,0.06510964590378271,0.9268850886955,-1.199040866595169e-14,5.140332604014475e-14,single-factor boundary,finite deterministic floating-point reconnaissance
3,true,0,0.38262891253046694,11.605849063061661708,0.7928055135871339,0.9803463333691971,0.9803405447185933,5.7886506037441166e-06,-3.3306690738754696e-15,1.609823385706477e-14,symmetric product interior,finite deterministic floating-point reconnaissance
4,true,0,0.3826289125298039,11.605847330187659174,0.7928055356230774,0.9803728695574525,0.9803139344470061,5.8935110446411976e-05,-1.7763568394002505e-15,-3.9968028886505635e-15,symmetric product interior,finite deterministic floating-point reconnaissance
5,true,0,0.38262891253022374,11.605848427451506339,0.7928056599625811,0.9803255381415144,0.9803613022507087,3.576410919436945e-05,-1.5543122344752192e-15,2.0095036745715333e-14,symmetric product interior,finite deterministic floating-point reconnaissance
6,true,0,0.3826244734574409,0.0042047547579771885444,0.79746858340545,0.9919978619268822,0.018470001220525712,0.9735278607063566,0.0,4.773959005888173e-15,single-factor boundary,finite deterministic floating-point reconnaissance
7,false,8,0.3826289125304727,11.605849078115586441,0.7928055336224188,0.9803426233173927,0.9803442538457503,1.630528357554617e-06,-2.220446049250313e-15,-1.4936940573306856e-12,symmetric product interior,finite deterministic floating-point reconnaissance
8,true,0,0.38262891253047165,11.605849075371381412,0.7928055422058286,0.9803417243050305,0.9803451519926584,3.427687627843845e-06,-5.10702591327572e-15,-1.2012613126444194e-13,symmetric product interior,finite deterministic floating-point reconnaissance
9,true,0,0.38262891253046366,11.605849054489287902,0.792805467652936,0.9803467649724681,0.9803401164981908,6.648474277337613e-06,-1.7763568394002505e-15,4.6851411639181606e-14,symmetric product interior,finite deterministic floating-point reconnaissance
10,true,0,0.38262891019659256,11.599749415622165225,0.7928066400670405,0.9784711846974712,0.9819608303747288,0.0034896456772576245,6.661338147750939e-16,-1.687538997430238e-14,symmetric product interior,finite deterministic floating-point reconnaissance
11,false,8,0.3826244723144988,0.0012176428921887080130,0.7975104544302777,0.009963856170017611,0.9919983569098064,0.9820345007397888,-3.574918139293004e-14,-3.850253449400043e-13,single-factor boundary,finite deterministic floating-point reconnaissance
12,true,0,0.38262447513279957,0.0085833525562458910835,0.7974719943948417,0.9919962704061914,0.0284471978223924,0.9635490725837991,1.554312234475219e-14,-1.7763568394002505e-14,single-factor boundary,finite deterministic floating-point reconnaissance
13,true,0,0.38262448885641226,0.044450406808411742946,0.7972645089155563,0.9919951176820164,0.05993615173725465,0.9320589659447618,1.1102230246251565e-16,-9.103828801926284e-15,single-factor boundary,finite deterministic floating-point reconnaissance
14,true,0,0.3826289125304219,11.605848945348333592,0.7928055103841651,0.9803516035594435,0.9803352698731495,1.6333686294056626e-05,-3.1086244689504383e-15,1.7763568394002505e-15,symmetric product interior,finite deterministic floating-point reconnaissance
15,true,0,0.3826289125255712,11.605836267905156567,0.7928055361754335,0.9802634073169051,0.980422934422038,0.00015952710513289503,-1.1546319456101628e-14,-3.68594044175552e-14,symmetric product interior,finite deterministic floating-point reconnaissance
16,true,0,0.3826289125304719,11.605849076024763561,0.7928055275112795,0.9803447618705123,0.9803421156811629,2.6461893494200694e-06,-1.7763568394002505e-15,-2.1316282072803006e-14,symmetric product interior,finite deterministic floating-point reconnaissance
