panel,series,q,delta,x,y,rawValue,referenceValue,unit,formula,evidenceClass,source,note
A,initial-data D indexed to q=256,256,0.0078125,256,1,868290027200659.25,868290027200659.25,index (q=256 equals 1),D_q/D_256,finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,R=40; finite retained Fourier coset; raw D retained in rawValue
A,complete prescribed atomProxy sum indexed to q=256,256,0.0078125,256,1,0.00022382680381426856,0.00022382680381426856,index (q=256 equals 1),atomProxySum_q/atomProxySum_256,finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,sum over the two prescribed roots; atomProxy is not multiplier-locked J_*
A,initial-data D indexed to q=256,512,0.0078125,512,64.027392890925,55594346714848568,868290027200659.25,index (q=256 equals 1),D_q/D_256,finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,R=40; finite retained Fourier coset; raw D retained in rawValue
A,complete prescribed atomProxy sum indexed to q=256,512,0.0078125,512,3.9994252089242144,0.00089517856160772013,0.00022382680381426856,index (q=256 equals 1),atomProxySum_q/atomProxySum_256,finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,sum over the two prescribed roots; atomProxy is not multiplier-locked J_*
A,initial-data D indexed to q=256,1024,0.0078125,1024,4098.6301442509694,3.5587996794371159e+18,868290027200659.25,index (q=256 equals 1),D_q/D_256,finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,R=40; finite retained Fourier coset; raw D retained in rawValue
A,complete prescribed atomProxy sum indexed to q=256,1024,0.0078125,1024,15.996550624902801,0.0035804567984251343,0.00022382680381426856,index (q=256 equals 1),atomProxySum_q/atomProxySum_256,finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,sum over the two prescribed roots; atomProxy is not multiplier-locked J_*
A,initial-data D indexed to q=256,2048,0.0078125,2048,262340.40003809013,2.2778755308490513e+20,868290027200659.25,index (q=256 equals 1),D_q/D_256,finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,R=40; finite retained Fourier coset; raw D retained in rawValue
A,complete prescribed atomProxy sum indexed to q=256,2048,0.0078125,2048,63.983901449597106,0.014321312157030464,0.00022382680381426856,index (q=256 equals 1),atomProxySum_q/atomProxySum_256,finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,sum over the two prescribed roots; atomProxy is not multiplier-locked J_*
A,initial-data D indexed to q=256,4096,0.0078125,4096,16790683.977545004,1.4579183447580227e+22,868290027200659.25,index (q=256 equals 1),D_q/D_256,finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,R=40; finite retained Fourier coset; raw D retained in rawValue
A,complete prescribed atomProxy sum indexed to q=256,4096,0.0078125,4096,255.93100307004215,0.057284218414147291,0.00022382680381426856,index (q=256 equals 1),atomProxySum_q/atomProxySum_256,finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,sum over the two prescribed roots; atomProxy is not multiplier-locked J_*
B,high-precision endpoint atom-proxy ratio,32,0.0078125,32,2.8297842039666646e-09,2.8297842039666646e-09,1,dimensionless proxy,leadingAtomProxy/D^(1/3),primary high-precision algebra certificate,research/certificates/r071x/result.json,tangent/high-precision algebra; atomProxy is not multiplier-locked J_*
B,high-precision complete-ledger-normalized proxy,32,0.0078125,32,2.2056873255971193e-11,2.2056873255971193e-11,1,dimensionless proxy,leadingAtomProxy/(D^(1/3) completeLedgerProxy),primary high-precision algebra certificate,research/certificates/r071x/result.json,complete-ledger-normalized analytic proxy; not the finite retained charge
B,high-precision endpoint atom-proxy ratio,64,0.0078125,64,2.8296258713380869e-09,2.8296258713380869e-09,1,dimensionless proxy,leadingAtomProxy/D^(1/3),primary high-precision algebra certificate,research/certificates/r071x/result.json,tangent/high-precision algebra; atomProxy is not multiplier-locked J_*
B,high-precision complete-ledger-normalized proxy,64,0.0078125,64,2.2056419879602412e-11,2.2056419879602412e-11,1,dimensionless proxy,leadingAtomProxy/(D^(1/3) completeLedgerProxy),primary high-precision algebra certificate,research/certificates/r071x/result.json,complete-ledger-normalized analytic proxy; not the finite retained charge
B,high-precision endpoint atom-proxy ratio,128,0.0078125,128,2.8295465424397728e-09,2.8295465424397728e-09,1,dimensionless proxy,leadingAtomProxy/D^(1/3),primary high-precision algebra certificate,research/certificates/r071x/result.json,tangent/high-precision algebra; atomProxy is not multiplier-locked J_*
