normalizedPhysicalTime,lambda0,lambda1,lambda2,pointwiseMaximum
0.0,0.75,-0.7499999999999998,-0.7500000000000004,0.75
0.0008333333333333334,0.7499862922474267,-0.7454586684324073,-0.7545276238150194,0.7499862922474267
0.0016666666666666668,0.7499451693655121,-0.7409037536151408,-0.7590414157503719,0.7499451693655121
0.0025,0.7498766324816606,-0.7363353804234904,-0.7635412520581705,0.7498766324816606
0.0033333333333333335,0.7497806834748455,-0.731753674101715,-0.7680270093731303,0.7497806834748455
0.004166666666666667,0.7496573249755573,-0.7271587602596081,-0.7724985647159494,0.7496573249755573
0.005,0.7495065603657316,-0.7225507648690539,-0.7769557954966778,0.7495065603657316
0.005833333333333334,0.7493283937786562,-0.7179298142605732,-0.7813985795180836,0.7493283937786562
0.006666666666666667,0.7491228300988584,-0.7132960351198615,-0.7858267949789971,0.7491228300988584
0.007500000000000001,0.74888987496197,-0.7086495544843145,-0.7902403204776551,0.74888987496197
0.008333333333333333,0.7486295347545738,-0.7039904997395467,-0.7946390350150278,0.7486295347545738
0.009166666666666667,0.7483418166140283,-0.6993189986158964,-0.7990228179981321,0.7483418166140283
0.01,0.7480267284282716,-0.6946351791849272,-0.8033915492433441,0.7480267284282716
0.010833333333333334,0.7476842788356053,-0.6899391698559147,-0.8077451089796907,0.7476842788356053
0.011666666666666667,0.7473144772244581,-0.6852310993723274,-0.8120833778521309,0.7473144772244581
0.0125,0.746917333733128,-0.6805110968082949,-0.8164062369248328,0.746917333733128
0.013333333333333334,0.7464928592495044,-0.6757792915650723,-0.8207135676844322,0.7464928592495044
0.014166666666666668,0.7460410654107695,-0.671035813367491,-0.8250052520432788,0.7460410654107695
0.015000000000000001,0.74556196460308,-0.666280792260401,-0.8292811723426795,0.74556196460308
0.015833333333333335,0.7450555699612263,-0.6615143586051085,-0.8335412113561179,0.7450555699612263
0.016666666666666666,0.7445218953682733,-0.6567366430758,-0.8377852522924732,0.7445218953682733
0.0175,0.7439609554551797,-0.6519477766559599,-0.8420131787992201,0.7439609554551797
0.018333333333333333,0.7433727656003964,-0.6471478906347805,-0.8462248749656162,0.7433727656003964
0.01916666666666667,0.7427573419294455,-0.6423371166035612,-0.8504202253258841,0.7427573419294455
0.02,0.7421147013144779,-0.6375155864521028,-0.8545991148623754,0.7421147013144779
0.020833333333333336,0.7414448613738104,-0.6326834323650895,-0.8587614290087209,0.7414448613738104
0.021666666666666667,0.7407478404714436,-0.627840786818467,-0.8629070536529772,0.7407478404714436
0.022500000000000003,0.7400236577165575,-0.6229877825758086,-0.8670358751407491,0.7400236577165575
0.023333333333333334,0.7392723329629883,-0.6181245526846777,-0.8711477802783105,0.7392723329629883
0.02416666666666667,0.7384938868086836,-0.613251230472978,-0.8752426563357057,0.7384938868086836
0.025,0.7376883405951378,-0.6083679495453,-0.8793203910498378,0.7376883405951378
0.025833333333333337,0.7368557164068072,-0.6034748437792568,-0.8833808726275503,0.7368557164068072
0.02666666666666667,0.735996037070505,-0.598572047321815,-0.8874239897486902,0.735996037070505
0.0275,0.7351093261547739,-0.593659694585616,-0.8914496315691581,0.7351093261547739
0.028333333333333335,0.7341956079692419,-0.5887379202452911,-0.8954576877239506,0.7341956079692419
0.029166666666666667,0.7332549075639546,-0.5838068592337708,-0.8994480483301841,0.7332549075639546
0.030000000000000002,0.7322872507286887,-0.578866646738583,-0.9034206039901056,0.7322872507286887
