panel,series,record,x,y,x_name,y_name,formula,evidence_class,source_path,source_sha256,normalization,note,raw_value
A,theta-1,m-01,1,0.96923323447634413,annulus index m,gamma_m(theta),theta^(-2)*exp(-4^(m-1)/(32*theta)),analytic formula,research/r073x_exterior_tail_freeze.md,f16b610b9d264ed912bbeeb70df36b6ccd50dbfbda52f7fdc2344f8869a78a20,none,theta=1; renderer coordinate,0.96923323447634413
A,theta-1,m-02,2,0.88249690258459546,annulus index m,gamma_m(theta),theta^(-2)*exp(-4^(m-1)/(32*theta)),analytic formula,research/r073x_exterior_tail_freeze.md,f16b610b9d264ed912bbeeb70df36b6ccd50dbfbda52f7fdc2344f8869a78a20,none,theta=1; renderer coordinate,0.88249690258459546
A,theta-1,m-03,3,0.60653065971263342,annulus index m,gamma_m(theta),theta^(-2)*exp(-4^(m-1)/(32*theta)),analytic formula,research/r073x_exterior_tail_freeze.md,f16b610b9d264ed912bbeeb70df36b6ccd50dbfbda52f7fdc2344f8869a78a20,none,theta=1; renderer coordinate,0.60653065971263342
A,theta-1,m-04,4,0.1353352832366127,annulus index m,gamma_m(theta),theta^(-2)*exp(-4^(m-1)/(32*theta)),analytic formula,research/r073x_exterior_tail_freeze.md,f16b610b9d264ed912bbeeb70df36b6ccd50dbfbda52f7fdc2344f8869a78a20,none,theta=1; renderer coordinate,0.1353352832366127
A,theta-1,m-05,5,0.00033546262790251185,annulus index m,gamma_m(theta),theta^(-2)*exp(-4^(m-1)/(32*theta)),analytic formula,research/r073x_exterior_tail_freeze.md,f16b610b9d264ed912bbeeb70df36b6ccd50dbfbda52f7fdc2344f8869a78a20,none,theta=1; renderer coordinate,0.00033546262790251185
A,theta-1,m-06,6,1.2664165549094176e-14,annulus index m,gamma_m(theta),theta^(-2)*exp(-4^(m-1)/(32*theta)),analytic formula,research/r073x_exterior_tail_freeze.md,f16b610b9d264ed912bbeeb70df36b6ccd50dbfbda52f7fdc2344f8869a78a20,none,theta=1; renderer coordinate,1.2664165549094176e-14
A,theta-1,m-07,7,2.5722093726424148e-56,annulus index m,gamma_m(theta),theta^(-2)*exp(-4^(m-1)/(32*theta)),analytic formula,research/r073x_exterior_tail_freeze.md,f16b610b9d264ed912bbeeb70df36b6ccd50dbfbda52f7fdc2344f8869a78a20,none,theta=1; renderer coordinate,2.5722093726424148e-56
A,theta-0.5,m-01,1,3.7576522512539032,annulus index m,gamma_m(theta),theta^(-2)*exp(-4^(m-1)/(32*theta)),analytic formula,research/r073x_exterior_tail_freeze.md,f16b610b9d264ed912bbeeb70df36b6ccd50dbfbda52f7fdc2344f8869a78a20,none,theta=0.5; renderer coordinate,3.7576522512539032
A,theta-0.5,m-02,2,3.1152031322856195,annulus index m,gamma_m(theta),theta^(-2)*exp(-4^(m-1)/(32*theta)),analytic formula,research/r073x_exterior_tail_freeze.md,f16b610b9d264ed912bbeeb70df36b6ccd50dbfbda52f7fdc2344f8869a78a20,none,theta=0.5; renderer coordinate,3.1152031322856195
A,theta-0.5,m-03,3,1.4715177646857693,annulus index m,gamma_m(theta),theta^(-2)*exp(-4^(m-1)/(32*theta)),analytic formula,research/r073x_exterior_tail_freeze.md,f16b610b9d264ed912bbeeb70df36b6ccd50dbfbda52f7fdc2344f8869a78a20,none,theta=0.5; renderer coordinate,1.4715177646857693
A,theta-0.5,m-04,4,0.073262555554936715,annulus index m,gamma_m(theta),theta^(-2)*exp(-4^(m-1)/(32*theta)),analytic formula,research/r073x_exterior_tail_freeze.md,f16b610b9d264ed912bbeeb70df36b6ccd50dbfbda52f7fdc2344f8869a78a20,none,theta=0.5; renderer coordinate,0.073262555554936715
