panel,series,x,y,source,status
A,exact-epsilon-0.5,-3,4.055904486029843,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.9500000000000002,3.8839043118702117,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.8999999999999999,3.7106538443826818,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.8500000000000001,3.5365631618204914,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.7999999999999998,3.3620391712571234,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.75,3.1874846091727331,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.7000000000000002,3.0132970557482155,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.6499999999999999,2.8398679653176297,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.6000000000000001,2.667581715387195,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.5499999999999998,2.4968146765806631,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.5,2.3279343058165631,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.4500000000000002,2.1612982649626669,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.3999999999999999,1.9972535671474367,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.3500000000000001,1.8361357528370399,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.2999999999999998,1.6782680977101392,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.25,1.5239608542813388,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.2000000000000002,1.3735105291377057,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.1499999999999999,1.2271991975620598,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.1000000000000001,1.0852938572212203,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2.0499999999999998,0.948045822497952,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-2,0.81569016094195801,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.95,0.68844517320806053,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.8999999999999999,0.56651191773932874,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.8500000000000001,0.45007378133921838,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.8,0.33929609666038729,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.75,0.23432580751886078,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.7,0.13529118282097352,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.6499999999999999,0.042301579767384467,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.6000000000000001,-0.044552743126352379,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.55,-0.12520076277928904,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.5,-0.19959077777836498,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.45,-0.26769044393699648,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.3999999999999999,-0.32948675914863212,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.3500000000000001,-0.38498599763311558,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.3,-0.4342135938016245,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.25,-0.47721397609322525,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.2,-0.51405035126249876,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
A,exact-epsilon-0.5,-1.1499999999999999,-0.54480443972280046,"exact W(epsilon^2*s,epsilon*X)/epsilon^3",analytic sample
