record_type,record_id,N,epsilon,sample_index,d,slow_fraction,fast_time,lambda,action,gain,action_normalized_gain,selected_norm,complement_norm,complement_to_selected_ratio,leakage_ratio_over_epsilon,backward_action_residual,metric,value,tolerance,ratio_to_tolerance,upstream_path,upstream_sha256
display_trajectory,N64-e0.001-d00,64,0.001,0,0.0,0.0,0.0,0.16894375143319798,0.0,1.0,1.0,1.0000000000000002,2.293350201634228e-16,2.2933502016342275e-16,2.293350201634227e-13,0.000171524672315293,,,,,experiments/r073l/adiabatic_diagnostic.json,8bd647eebe0249a5a4d1281d8d32f6fa760eb436aa68a6e56a0cd4ddd6e99fbe
display_trajectory,N64-e0.001-d01,64,0.001,1,3.472222222222222e-05,0.015625,0.034722222222222224,0.16893220014484236,0.005865901933341102,1.00588309202567,0.9999999522811501,1.0058715493860597,4.3627928827512015e-05,4.337326058594719e-05,0.04337326058594719,0.00017147695346428696,,,,,experiments/r073l/adiabatic_diagnostic.json,8bd647eebe0249a5a4d1281d8d32f6fa760eb436aa68a6e56a0cd4ddd6e99fbe
display_trajectory,N64-e0.001-d02,64,0.001,2,6.944444444444444e-05,0.03125,0.06944444444444445,0.16892065016194932,0.011731402802945795,1.0118002928968066,0.9999998095536607,1.0117771684631225,8.744102572227018e-05,8.642320507695589e-05,0.08642320507695589,0.00017133422595785874,,,,,experiments/r073l/adiabatic_diagnostic.json,8bd647eebe0249a5a4d1281d8d32f6fa760eb436aa68a6e56a0cd4ddd6e99fbe
display_trajectory,N64-e0.001-d03,64,0.001,3,0.00010416666666666666,0.046875,0.10416666666666666,0.16890910148433,0.01759650265413936,1.0177517980696165,0.9999995724558476,1.0177170525612842,0.0001314412362129702,0.00012915302527571155,0.12915302527571154,0.0001710971280714027,,,,,experiments/r073l/adiabatic_diagnostic.json,8bd647eebe0249a5a4d1281d8d32f6fa760eb436aa68a6e56a0cd4ddd6e99fbe
display_trajectory,N64-e0.001-d04,64,0.001,4,0.0001388888888888889,0.0625,0.1388888888888889,0.16889755411179572,0.02346120153224053,1.0237378041040028,0.9999992416191061,1.0236913981169797,0.00017563051169793375,0.0001715658762210914,0.1715658762210914,0.00017076629113398079,,,,,experiments/r073l/adiabatic_diagnostic.json,8bd647eebe0249a5a4d1281d8d32f6fa760eb436aa68a6e56a0cd4ddd6e99fbe
display_trajectory,N64-e0.001-d05,64,0.001,5,0.00017361111111111112,0.078125,0.1736111111111111,0.16888600804415804,0.029325499482561475,1.029758508669787,0.9999988176680529,1.0297004026791854,0.00022001080936135845,0.00021366487649117222,0.21366487649117222,0.00017034233966916473,,,,,experiments/r073l/adiabatic_diagnostic.json,8bd647eebe0249a5a4d1281d8d32f6fa760eb436aa68a6e56a0cd4ddd6e99fbe
display_trajectory,N64-e0.001-d06,64,0.001,6,0.00020833333333333332,0.09375,0.20833333333333331,0.1688744632812305,0.03518939655040788,1.0358141105529581,0.9999983012206566,1.0357442649156359,0.00026458409210876473,0.00025545310852415466,0.25545310852415465,0.00016982589152891164,,,,,experiments/r073l/adiabatic_diagnostic.json,8bd647eebe0249a5a4d1281d8d32f6fa760eb436aa68a6e56a0cd4ddd6e99fbe
display_trajectory,N64-e0.001-d07,64,0.001,7,0.00024305555555555555,0.109375,0.24305555555555555,0.16886291982281873,0.04105289278107881,1.0419048096619634,0.9999976928883755,1.0418231846190833,0.0003093523285224852,0.00029693361895722465,0.29693361895722464,0.0001692175580294622,,,,,experiments/r073l/adiabatic_diagnostic.json,8bd647eebe0249a5a4d1281d8d32f6fa760eb436aa68a6e56a0cd4ddd6e99fbe
display_trajectory,N64-e0.001-d08,64,0.001,8,0.0002777777777777778,0.125,0.2777777777777778,0.1688513776687367,0.0469159882198667,1.0480308070340283,0.9999969932762853,1.0479373627135877,0.0003543174927536839,0.00033810941890285724,0.33810941890285723,0.00016851794408045961,,,,,experiments/r073l/adiabatic_diagnostic.json,8bd647eebe0249a5a4d1281d8d32f6fa760eb436aa68a6e56a0cd4ddd6e99fbe
display_trajectory,N64-e0.001-d09,64,0.001,9,0.0003125,0.140625,0.3125,0.16883983681879897,0.05277868291205758,1.0541923048415145,0.9999962029832089,1.0540870012608377,0.0003994815644875905,0.00037898348429470606,0.3789834842947061,0.00016772764831533143,,,,,experiments/r073l/adiabatic_diagnostic.json,8bd647eebe0249a5a4d1281d8d32f6fa760eb436aa68a6e56a0cd4ddd6e99fbe
