recordType,caseId,R,N,alpha,analyticCompleteDivR2,analyticCompleteLedgerProxy,analyticProxyLineageRelativeError,analyticSlackOverMeasured,archivedFirstRootPayment,archivedProxyWithoutDiagonal,curveLeftResidual,curveRightResidual,derivativeMinimumExact,directionalMeanNumerical,directionalRoot,directionalRootBracketLeft,directionalRootBracketRight,directionalRootIterations,directionalRootResidual,endpointPositionExact,endpointPositionNumerical,endpointPositionResidual,endpointSlopeSquared,epsilon,exactRootLower,exactRootLowerDivR2,exactRootResidual,firstRootPayment,firstRootRelativeError,frequency,inequalityRatio,intervalRight,launchEnergy,measuredCompleteDivR2,measuredCompleteLedgerUpper,measuredSlackOverExactRoot,mixedRow,n,normalizedAnalyticCompleteProxy,normalizedAnalyticTimesR23,normalizedExactRootLower,normalizedExactRootTimesR23,normalizedMeasuredCompleteUpper,normalizedMeasuredTimesR23,normingFunctionalEndpointValue,normingFunctionalNorm,physicalAnalyticCompleteProxy,physicalAnalyticDivR,physicalCriticalAction,physicalExactRootLower,physicalMeasuredCompleteUpper,physicalMeasuredDivR,rampLength,rampStart,rawMixedMoment,rawTrueCubic,rawTrueCubicRelativeError,referencePayment,rhoSquared,sharpnessRatio,theta,trueCubicRow,twiceMixedRow,twiceTrueCubicRow,twiceWeightedIntegral,velocityZero,weightedIntegral,weightedIntegralExact,weightedIntegralNumerical,weightedIntegralRelativeError
sharpness,sharp-n-4,,,,,,,,,,,,,,,,,,,0.0,5.551115123125783e-17,5.551115123125783e-17,1.0,0.25,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,0.4,0.6,,,,,,0.9411764705882353,,,,,1.0625,0.6799999999999999,,0.53125,0.5312500000000001,2.089831575765e-16
sharpness,sharp-n-8,,,,,,,,,,,,,,,,,,,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,1.0,0.125,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,0.2222222222222222,0.7777777777777778,,,,,,0.9846153846153847,,,,,1.015625,0.8024691358024691,,0.5078125,0.5078125,0.0
sharpness,sharp-n-16,,,,,,,,,,,,,,,,,,,0.0,2.7755575615628914e-17,2.7755575615628914e-17,1.0000000000000004,0.0625,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,0.11764705882352941,0.8823529411764706,,,,,,0.9961089494163429,,,,,1.00390625,0.889273356401384,,0.501953125,0.5019531250000003,6.635418544063188e-16
sharpness,sharp-n-32,,,,,,,,,,,,,,,,,,,0.0,-5.551115123125783e-17,5.551115123125783e-17,0.9999999999999982,0.03125,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,0.06060606060606061,0.9393939393939394,,,,,,0.9990243902439007,,,,,1.0009765625,0.9412304866850322,,0.50048828125,0.5004882812499991,1.774623808337421e-15
sharpness,sharp-n-64,,,,,,,,,,,,,,,,,,,0.0,3.469446951953614e-18,3.469446951953614e-18,1.0,0.015625,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,0.03076923076923077,0.9692307692307692,,,,,,0.9997559189650964,,,,,1.000244140625,0.9697041420118343,,0.5001220703125,0.5001220703125001,2.219904080480664e-16
sharpness,sharp-n-128,,,,,,,,,,,,,,,,,,,0.0,2.7755575615628914e-17,2.7755575615628914e-17,1.0000000000000036,0.0078125,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,0.015503875968992248,0.9844961240310077,,,,,,0.9999389685688165,,,,,1.00006103515625,0.9846163091160387,,0.500030517578125,0.5000305175781269,3.774527904825077e-15
sharpness,sharp-n-256,,,,,,,,,,,,,,,,,,,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,0.9999999999999929,0.00390625,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,0.007782101167315175,0.9922178988326849,,,,,,0.9999847414437575,,,,,1.0000152587890625,0.9922481793819741,,0.5000076293945312,0.5000076293945277,7.105318939038089e-15
sharpness,sharp-n-512,,,,,,,,,,,,,,,,,,,0.0,-4.336808689942018e-19,4.336808689942018e-19,1.0,0.001953125,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,0.003898635477582846,0.9961013645224172,,,,,,0.9999961853172863,,,,,1.0000038146972656,0.9961089642017107,,0.5000019073486328,0.5000019073486327,2.2204375789531523e-16
sharpness,sharp-n-1024,,,,,,,,,,,,,,,,,,,0.0,1.734723475976807e-18,1.734723475976807e-18,1.0000000000000018,0.0009765625,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,0.001951219512195122,0.9980487804878049,,,,,,0.9999990463265949,,,,,1.0000009536743164,0.9980506841165973,,0.5000004768371582,0.5000004768371591,1.7763551453359684e-15
complexScalar,complex-scalar-k-1,,,,,,,,,,0.0,2.4492935982947064e-16,6.283185307179586,-2.458970527197124e-16,0.25,0.25,0.25,0,1.1542024162330739e-15,,,,39.47841760435743,,,,,,,1,0.07957747154594767,1.0,,,,,,,,,,,,,6.283185307179586,1.0,,,,,,,,,,,,,,,,,,,496.10042688479706,,248.05021344239853,,,
complexScalar,complex-scalar-k-2,,,,,,,,,,0.0,2.4492935982947064e-16,12.566370614359172,-2.458970527197124e-16,0.125,0.125,0.125,0,2.3084048324661477e-15,,,,157.91367041742973,,,,,,,2,0.07957747154594767,0.5,,,,,,,,,,,,,12.566370614359172,1.0,,,,,,,,,,,,,,,,,,,1984.4017075391882,,992.2008537695941,,,
complexScalar,complex-scalar-k-4,,,,,,,,,,0.0,2.4492935982947064e-16,25.132741228718345,-2.458970527197124e-16,0.0625,0.0625,0.0625,0,4.6168096649322955e-15,,,,631.6546816697189,,,,,,,4,0.07957747154594767,0.25,,,,,,,,,,,,,25.132741228718345,1.0,,,,,,,,,,,,,,,,,,,7937.606830156753,,3968.8034150783765,,,
