panel,record,series,x,y,x_unit,y_unit,evidence_class,formula_source
A,a-0.05-0000,D-s-0.05,0,0.0045279585030313617,radian,normalized covariance,analytic exact formula,"frozen commit 1ecc6fe2, Theorem 1.1 equation (1.4)"
A,a-0.05-0001,D-s-0.05,0.0087266462599716477,0.0045345157341014084,radian,normalized covariance,analytic exact formula,"frozen commit 1ecc6fe2, Theorem 1.1 equation (1.4)"
A,a-0.05-0002,D-s-0.05,0.017453292519943295,0.0045541854299154484,radian,normalized covariance,analytic exact formula,"frozen commit 1ecc6fe2, Theorem 1.1 equation (1.4)"
A,a-0.05-0003,D-s-0.05,0.026179938779914945,0.0045869615988935941,radian,normalized covariance,analytic exact formula,"frozen commit 1ecc6fe2, Theorem 1.1 equation (1.4)"
A,a-0.05-0004,D-s-0.05,0.034906585039886591,0.004632834257097259,radian,normalized covariance,analytic exact formula,"frozen commit 1ecc6fe2, Theorem 1.1 equation (1.4)"
A,a-0.05-0005,D-s-0.05,0.043633231299858237,0.004691789431270371,radian,normalized covariance,analytic exact formula,"frozen commit 1ecc6fe2, Theorem 1.1 equation (1.4)"
A,a-0.05-0006,D-s-0.05,0.05235987755982989,0.0047638091630957781,radian,normalized covariance,analytic exact formula,"frozen commit 1ecc6fe2, Theorem 1.1 equation (1.4)"
A,a-0.05-0007,D-s-0.05,0.061086523819801536,0.0048488715146654919,radian,normalized covariance,analytic exact formula,"frozen commit 1ecc6fe2, Theorem 1.1 equation (1.4)"
A,a-0.05-0008,D-s-0.05,0.069813170079773182,0.0049469505751631969,radian,normalized covariance,analytic exact formula,"frozen commit 1ecc6fe2, Theorem 1.1 equation (1.4)"
A,a-0.05-0009,D-s-0.05,0.078539816339744828,0.0050580164687569632,radian,normalized covariance,analytic exact formula,"frozen commit 1ecc6fe2, Theorem 1.1 equation (1.4)"
A,a-0.05-0010,D-s-0.05,0.087266462599716474,0.0051820353636996847,radian,normalized covariance,analytic exact formula,"frozen commit 1ecc6fe2, Theorem 1.1 equation (1.4)"
